trial,distance
1,36.08464050292969
2,43.557716369628906
3,98.53816986083984
4,107.23426818847656
5,71.2146987915039
6,68.97241973876953
7,52.19404983520508
8,76.40857696533203
9,56.17854690551758
10,47.65072250366211
11,116.0743179321289
12,78.7900161743164
13,54.23066711425781
14,99.06715393066406
15,65.21346282958984
16,55.43218231201172
17,34.65835952758789
18,69.26237487792969
19,112.58934020996094
20,70.49415588378906
21,84.23619842529297
22,51.13425827026367
23,69.27423095703125
24,129.4530487060547
25,64.15743255615234
26,95.88035583496094
27,118.55228424072266
28,84.92311096191406
29,43.27989196777344
30,72.58501434326172
31,45.65632629394531
32,30.82277107238769
33,80.27738952636719
34,54.584129333496094
35,59.2564811706543
36,47.75009536743164
37,57.026466369628906
38,79.99987030029297
39,35.45627212524414
40,90.26962280273438
41,89.30266571044922
42,68.77638244628906
43,38.16240310668945
44,100.5407257080078
45,45.937347412109375
46,66.15744018554688
47,37.90443420410156
48,37.556270599365234
49,94.40560913085938
50,57.02085494995117
51,34.91975021362305
52,76.93197631835938
53,52.45473098754883
54,47.56526184082031
55,63.88191986083984
56,61.03592300415039
57,113.9759521484375
58,42.08966445922852
59,38.50887298583984
60,83.80709838867188
61,54.09599304199219
62,30.326568603515625
63,68.21269226074219
64,68.95922088623047
65,63.72893905639648
66,67.66780090332031
67,123.50652313232422
68,64.64641571044922
69,89.56927490234375
70,90.27561950683594
71,55.00449752807617
72,89.24329376220703
73,99.0602798461914
74,43.87038803100586
75,49.98574066162109
76,56.86920928955078
77,55.30234146118164
78,77.14401245117188
79,86.21250915527344
80,36.02099609375
81,103.61300659179688
82,55.80180358886719
84,54.91918563842773
85,49.57512664794922
86,56.45976257324219
90,64.6456527709961
91,53.86106491088867
93,87.91827392578125
94,51.55568313598633
97,52.78376770019531
98,58.347686767578125
99,49.26378631591797
100,62.952293395996094
102,39.97718811035156
103,94.35741424560548
106,81.55648803710938
107,35.85042953491211
109,84.05096435546875
111,107.1772003173828
112,76.42539978027344
113,64.06119537353516
114,132.25755310058594
115,71.31041717529297
118,82.4297103881836
121,76.05159759521484
122,83.95491790771484
123,49.69211959838867
126,95.75511932373048
127,71.03913116455078
129,32.928253173828125
132,79.23764038085938
133,69.82769775390625
139,64.55748748779297
140,87.21654510498047
142,60.82290649414063
143,62.17675018310547
144,113.43740844726562
145,55.95920944213867
148,72.48644256591797
149,59.0819206237793
154,101.10685729980467
156,39.274696350097656
158,116.50408172607422
163,79.075439453125
166,61.65276718139648
170,88.47553253173828
173,80.11688995361328
179,87.45206451416016
183,106.8276596069336
186,80.5815200805664
190,82.57757568359375
192,56.98681640625
196,59.60657501220703
207,64.91114044189453
210,78.19110107421875
214,59.546966552734375
215,87.7184829711914
223,97.87110900878906
254,85.60450744628906
283,69.9635009765625
289,73.1195068359375
297,77.1694107055664
302,69.51901245117188
306,90.19279479980467
307,72.3522720336914
316,117.00911712646484
319,74.20561218261719
326,56.083980560302734
332,40.204872131347656
380,69.82605743408203
