trial,hole,model_y
1,0,0.33312337589446206
1,1,0.044371838706129464
1,2,0.6225047853994086
2,0,0.4872879752830595
2,1,0.04364683649653252
2,2,0.46906518822040805
3,0,0.056842035433155066
3,1,0.8914485430225141
3,2,0.05170942154433094
4,0,0.039215129116734165
4,1,0.05627072550275373
4,2,0.9045141453805122
5,0,0.21449588940658382
5,1,0.716235813611449
5,2,0.06926829698196721
6,0,0.7630476748653169
6,1,0.10754375720708742
6,2,0.12940856792759567
7,0,0.053130364919385456
7,1,0.17514744058394954
7,2,0.771722194496665
8,0,0.3937537899773314
8,1,0.3969123525940805
8,2,0.20933385742858815
9,0,0.8199973200772207
9,1,0.05996296748812898
9,2,0.1200397124346503
10,0,0.48944191832284917
10,1,0.04492468393223271
10,2,0.4656333977449181
11,0,0.06325351452886199
11,1,0.07402662741329721
11,2,0.8627198580578409
12,0,0.4275726548230804
12,1,0.04888264411337914
12,2,0.5235447010635405
13,0,0.6112355644790147
13,1,0.35926327312911593
13,2,0.029501162391869232
14,0,0.08897342442765786
14,1,0.0816830751812757
14,2,0.8293435003910664
15,0,0.481535048351976
15,1,0.03854337871700366
15,2,0.4799215729310203
16,0,0.05293118295897157
16,1,0.7434329327120471
16,2,0.20363588432898128
17,0,0.8113455223005511
17,1,0.06805005663807855
17,2,0.12060442106137033
18,0,0.05879022022469754
18,1,0.6704101260701796
18,2,0.2707996537051228
19,0,0.8933988927601024
19,1,0.05573638072333265
19,2,0.05086472651656488
20,0,0.6410338088307558
20,1,0.04470373823932406
20,2,0.3142624529299201
21,0,0.05376779446064259
21,1,0.9056005911112172
21,2,0.04063161442814024
22,0,0.03672733570015377
22,1,0.4923627850548105
22,2,0.4709098792450357
23,0,0.4121214458793671
23,1,0.32653733800035595
23,2,0.26134121612027683
24,0,0.04875395684970754
24,1,0.03944700307935883
24,2,0.9117990400709337
25,0,0.4010634051805633
25,1,0.5237247935724956
25,2,0.07521180124694106
26,0,0.04259331162608018
26,1,0.0608683218363283
26,2,0.8965383665375916
27,0,0.04551506519958289
27,1,0.05609751144301086
27,2,0.8983874233574062
28,0,0.5254839324348977
28,1,0.43054958968323565
28,2,0.04396647788186673
29,0,0.8633778248936349
29,1,0.0719325624441181
29,2,0.06468961266224699
30,0,0.05075444115647968
30,1,0.9069933483183155
30,2,0.04225221052520492
31,0,0.8879857537643085
31,1,0.06524984854927156
31,2,0.04676439768641995
32,0,0.3760893048407086
32,1,0.06708780595134234
32,2,0.5568228892079492
33,0,0.03523448320311373
33,1,0.9197710656695006
33,2,0.04499445112738559
34,0,0.725238265116051
34,1,0.033888632497410025
34,2,0.24087310238653897
35,0,0.48360803121066825
35,1,0.05639334291351278
35,2,0.4599986258758189
36,0,0.2276169269731595
36,1,0.05368820863295202
36,2,0.7186948643938885
37,0,0.35130422864979605
37,1,0.6146713962208493
37,2,0.034024375129354606
38,0,0.11057356647124894
38,1,0.11473625908574879
38,2,0.7746901744430024
39,0,0.6034430901863954
39,1,0.059154734953537305
39,2,0.3374021748600674
40,0,0.755291109061176
40,1,0.08770486327435434
40,2,0.15700402766446964
41,0,0.41477447312068433
41,1,0.034179491953929685
41,2,0.551046034925386
42,0,0.4717205885475365
42,1,0.04900893706551017
42,2,0.4792704743869533
43,0,0.49427500258778806
43,1,0.32311466223477614
43,2,0.18261033517743583
44,0,0.14795547918237306
44,1,0.451743311813933
44,2,0.40030120900369404
45,0,0.7248098217821028
45,1,0.24067325783130125
45,2,0.03451692038659586
46,0,0.19709874967397678
46,1,0.7448782584356617
46,2,0.05802299189036159
47,0,0.04173681495537577
47,1,0.5235543105315009
47,2,0.4347088745131233
48,0,0.34742514171792377
48,1,0.2875124508196751
48,2,0.365062407462401
49,0,0.2507619760945573
49,1,0.21285266647207163
49,2,0.5363853574333711
50,0,0.22290689113527773
50,1,0.6168135527453404
50,2,0.16027955611938183
51,0,0.5411607443417926
51,1,0.055531771671082183
51,2,0.4033074839871252
52,0,0.1576900835662356
52,1,0.16612378700531183
52,2,0.6761861294284526
53,0,0.13417493704593442
53,1,0.7957697252475584
53,2,0.07005533770650722
54,0,0.06119354782440375
54,1,0.4526409677654685
54,2,0.48616548441012764
55,0,0.033610029418807474
55,1,0.5375285800364995
55,2,0.4288613905446931
56,0,0.2733045350277349
56,1,0.49311503741587054
56,2,0.23358042755639455
57,0,0.049994790255547504
57,1,0.06954565883236559
57,2,0.8804595509120868
58,0,0.43943708387566555
58,1,0.04201741838590983
58,2,0.5185454977384246
59,0,0.33213706130585063
59,1,0.24502681226291492
59,2,0.4228361264312344
60,0,0.37700901339944654
60,1,0.07632673365022082
60,2,0.5466642529503326
61,0,0.3985948733827954
61,1,0.03899550354992997
61,2,0.5624096230672746
62,0,0.2648649782514558
62,1,0.1586114729933406
62,2,0.5765235487552037
63,0,0.12583274732440014
63,1,0.42380955244340857
63,2,0.45035770023219124
64,0,0.2081940606093901
64,1,0.5887235044830368
64,2,0.2030824349075732
65,0,0.723376585963362
65,1,0.04253663970491101
65,2,0.2340867743317271
66,0,0.12896830641398435
66,1,0.43179995975035895
66,2,0.4392317338356567
67,0,0.8949780872978021
67,1,0.05567747783549392
67,2,0.04934443486670401
68,0,0.3074992933102821
68,1,0.6431274779943514
68,2,0.049373228695366554
69,0,0.06274103485688991
69,1,0.9011336214362321
69,2,0.03612534370687792
70,0,0.373063237971497
70,1,0.07997625858292798
70,2,0.5469605034455751
71,0,0.17627937584121955
71,1,0.5167295073768841
71,2,0.3069911167818964
72,0,0.7328242852885056
72,1,0.05653152921674708
72,2,0.2106441854947473
73,0,0.05502633707235019
73,1,0.043893938476337234
73,2,0.9010797244513126
74,0,0.04090541320263502
74,1,0.4814707171575335
74,2,0.4776238696398315
75,0,0.6072649821074028
75,1,0.07913821590452641
75,2,0.3135968019880708
76,0,0.5833761955553756
76,1,0.07327176732376457
76,2,0.3433520371208598
77,0,0.2152099962654776
77,1,0.7271694036840242
77,2,0.05762060005049822
78,0,0.047512545406842216
78,1,0.5673830297022127
78,2,0.3851044248909451
79,0,0.04480699115320486
79,1,0.05544984581513827
79,2,0.899743163031657
80,0,0.7168393545321482
80,1,0.05409949773674166
80,2,0.22906114773111014
81,0,0.12168318756301293
81,1,0.126339550515707
81,2,0.75197726192128
82,0,0.03845114452174147
82,1,0.30656141045081525
82,2,0.6549874450274432
84,0,0.8296100868803378
84,1,0.12692099451237204
84,2,0.043468918607290206
85,0,0.41959553191000987
85,1,0.5424884316681357
85,2,0.03791603642185458
86,0,0.03747918544666245
86,1,0.13808483124560203
86,2,0.8244359833077356
90,0,0.13117992063715847
90,1,0.1463273208482177
90,2,0.7224927585146238
91,0,0.4449351469427981
91,1,0.4145049345777414
91,2,0.14055991847946056
93,0,0.04799779887642464
93,1,0.8990433772329186
93,2,0.05295882389065657
94,0,0.2076250224916468
94,1,0.31371543069617963
94,2,0.47865954681217354
97,0,0.5321317843155272
97,1,0.05093865402977299
97,2,0.4169295616546998
98,0,0.5129087416976731
98,1,0.04417075799490929
98,2,0.44292050030741753
99,0,0.7451152662241199
99,1,0.050606131618415554
99,2,0.20427860215746454
100,0,0.4630331671739525
100,1,0.047597250326617754
100,2,0.48936958249942974
102,0,0.4127846834401029
102,1,0.5372845436017368
102,2,0.04993077295816021
103,0,0.6842576539815265
