trial,judgment,num_cols
1,"[0.029220139137498272, 0.35357704465508205, 0.6172028162074197]",506
2,"[0.0421024644769397, 0.36155683289954016, 0.5963407026235201]",537
3,"[0.15496302018275773, 0.8294708992404654, 0.015566080576776909]",361
4,"[0.009185692954575355, 0.041544163009365295, 0.9492701440360592]",329
5,"[0.06664657230022863, 0.5327283567796509, 0.40062507092012045]",540
6,"[0.6021414211141478, 0.36298183524249766, 0.03487674364335454]",685
7,"[0.012312651244344908, 0.034368306492109334, 0.9533190422635457]",748
8,"[0.6853513424189576, 0.14904840366984665, 0.1656002539111958]",618
9,"[0.951166391340148, 0.017087261594440465, 0.03174634706541158]",709
10,"[0.4418131411684108, 0.22373327767828932, 0.3344535811532999]",532
11,"[0.013284093343188388, 0.0147865738405366, 0.971929332816275]",1111
12,"[0.9257838752216109, 0.018605044314646685, 0.0556110804637425]",725
13,"[0.47678801139679033, 0.5149742646078707, 0.008237723995338996]",756
14,"[0.017897682409500182, 0.015140760645074079, 0.9669615569454258]",840
15,"[0.7897068207379947, 0.17244057599418533, 0.037852603267819855]",341
16,"[0.3839573255373017, 0.5894012865949987, 0.02664138786769957]",520
17,"[0.6426396049440062, 0.31838114223037645, 0.03897925282561738]",534
18,"[0.35659733219611206, 0.606773995774952, 0.036628672028936035]",543
19,"[0.8278576657795864, 0.15018763605350202, 0.02195469816691156]",353
20,"[0.9466010537103171, 0.020626167419716703, 0.03277277886996619]",736
21,"[0.03225180928043633, 0.9544402143657941, 0.01330797635376976]",352
22,"[0.007155967297212449, 0.5251418104947635, 0.46770222220802404]",829
23,"[0.051782757180681246, 0.09493909086973473, 0.853278151949584]",763
24,"[0.017226506569292064, 0.07483957403856108, 0.9079339193921468]",355
25,"[0.08544018580331329, 0.6505299252628391, 0.26402988893384755]",726
26,"[0.013959979659586801, 0.15229459941031348, 0.8337454209300996]",356
27,"[0.012993024867049187, 0.09763465069409522, 0.8893723244388556]",353
28,"[0.043606907270745045, 0.581075346391657, 0.3753177463375979]",520
29,"[0.4398047210887655, 0.23701635222470852, 0.32317892668652604]",460
30,"[0.0663774818359171, 0.9242046048505733, 0.00941791331350952]",364
31,"[0.6092422320158433, 0.3657993067226758, 0.0249584612614809]",537
32,"[0.12258473747659775, 0.429570295302236, 0.4478449672211663]",540
33,"[0.013244555184938934, 0.9683174768229637, 0.01843796799209734]",327
34,"[0.9218382230511669, 0.014740491226953568, 0.0634212857218795]",760
35,"[0.22677492291238424, 0.3814321336782553, 0.3917929434093604]",701
36,"[0.026427327740521863, 0.2050180117531229, 0.7685546605063552]",556
37,"[0.4278148786867422, 0.5624522852822115, 0.009732836031046278]",753
38,"[0.026924025367630035, 0.023416763455232137, 0.9496592111771379]",813
39,"[0.5452419219204911, 0.34674780975085373, 0.10801026832865515]",545
40,"[0.9601143121672047, 0.01235297152016491, 0.02753271631263042]",886
41,"[0.03384525550607541, 0.00965766352582894, 0.9564970809680957]",831
42,"[0.04699146091065463, 0.22133264025837668, 0.7316758988309687]",761
43,"[0.6006033453880738, 0.222331700127289, 0.17706495448463733]",669
44,"[0.0401731857872854, 0.059849496296830194, 0.8999773179158843]",770
45,"[0.9356392862942702, 0.05427710981805712, 0.010083603887672786]",776
46,"[0.024116231834927282, 0.5904373877628883, 0.3854463804021843]",498
47,"[0.08003772193920033, 0.49275943465855987, 0.4272028434022399]",583
48,"[0.34254740453965676, 0.24768561645353693, 0.4097669790068064]",623
49,"[0.036590882631221046, 0.02152266247562579, 0.9418864548931531]",818
50,"[0.050527816030846114, 0.6342673501719919, 0.3152048337971619]",676
51,"[0.5505120973629879, 0.3360526497803304, 0.11343525285668186]",545
