trial,judgment,num_cols
1,"[0.07481379577387987, 0.03980028854257929, 0.8853859156835409]",597
2,"[0.0763281473361072, 0.04860118282920181, 0.8750706698346911]",640
3,"[0.035279632113162124, 0.9470421682556922, 0.017678199631145704]",327
4,"[0.009420282940254905, 0.013873461075384286, 0.9767062559843607]",323
5,"[0.07970709542436678, 0.8744705681342375, 0.04582233644139567]",649
6,"[0.8940764132809027, 0.057161544782485064, 0.048762041936612294]",717
7,"[0.013041591068261239, 0.028161798300653, 0.9587966106310859]",747
8,"[0.5854296373176322, 0.2483849467890248, 0.16618541589334304]",618
9,"[0.9643919139605801, 0.019377134576852237, 0.01623095146256766]",707
10,"[0.5273994486291449, 0.02543062195288113, 0.447169929417974]",603
11,"[0.01458126806312789, 0.020401460019936587, 0.9650172719169355]",1107
12,"[0.9182276255008708, 0.030031347662357634, 0.051741026836771564]",726
13,"[0.6181655166745799, 0.3730769560943948, 0.008757527231025457]",780
14,"[0.021700771610749972, 0.02195234536440207, 0.9563468830248479]",835
15,"[0.9151172539944057, 0.039557939418656644, 0.045324806586937674]",315
16,"[0.044316712976424144, 0.9398584892263208, 0.015824797797254986]",609
17,"[0.9108234846615901, 0.0425274908535975, 0.04664902448481238]",608
18,"[0.04723911973237458, 0.9220688388921234, 0.03069204137550191]",639
19,"[0.954678308992413, 0.031800808918249435, 0.013520882089337627]",322
20,"[0.9483917814075057, 0.020149867595113967, 0.031458350997380306]",733
21,"[0.016493444159419814, 0.9679119471391695, 0.015594608701410802]",344
22,"[0.0071954360035991725, 0.4572360926456553, 0.5355684713507456]",838
23,"[0.053643207020579044, 0.14903701606680173, 0.7973197769126191]",763
24,"[0.015606237712115084, 0.02979208116394286, 0.9546016811239422]",331
25,"[0.23102399916104882, 0.7289576375580493, 0.040018363280901796]",756
26,"[0.010186663564514531, 0.044994594364993326, 0.9448187420704921]",322
27,"[0.013712244368955047, 0.0363418364873364, 0.9499459191437086]",330
28,"[0.09745395710424974, 0.8616108131126052, 0.04093522978314502]",642
29,"[0.9070295516577659, 0.04302170705286554, 0.04994874128936867]",585
30,"[0.02635931151094503, 0.957939835979149, 0.01570085250990584]",343
31,"[0.928322033767404, 0.04973904746880337, 0.02193891876379255]",621
32,"[0.2698096049042723, 0.04653384753934804, 0.6836565475563797]",688
33,"[0.017143558327726148, 0.9698263550939034, 0.013030086578370358]",326
34,"[0.9270790188505365, 0.02203548701135491, 0.05088549413810858]",761
35,"[0.23102875740789175, 0.04626602034391818, 0.7227052222481901]",766
36,"[0.01777239631032823, 0.02954175783053279, 0.9526858458591388]",597
37,"[0.35614749157036163, 0.6290594774533141, 0.014793030976324263]",758
38,"[0.0447673301742112, 0.03619191334860002, 0.9190407564771889]",794
39,"[0.8275463621872445, 0.03809716878160965, 0.13435646903114581]",639
40,"[0.9571597763545833, 0.026209435645481713, 0.01663078799993497]",856
41,"[0.052366765736300995, 0.010895132187385545, 0.9367381020763135]",830
42,"[0.05754578318968777, 0.061779624170809115, 0.8806745926395031]",779
43,"[0.5916733451523425, 0.26865328435216657, 0.139673370495491]",663
44,"[0.020527692260781327, 0.09734813710351495, 0.8821241706357037]",777
45,"[0.9657795103649695, 0.025008537621524756, 0.0092119520135058]",778
46,"[0.024878416894971674, 0.9363983543150323, 0.03872322878999607]",593
47,"[0.019760973671537518, 0.5370776078181849, 0.4431614185102775]",605
48,"[0.34484909927981655, 0.2494090940480507, 0.40574180667213267]",625
49,"[0.036697085709068024, 0.014318813200809829, 0.9489841010901222]",823
50,"[0.055117113559515325, 0.6774064305779958, 0.267476455862489]",653
51,"[0.7059850707714086, 0.03470099295593798, 0.25931393627265326]",665
52,"[0.0511998569539387, 0.061028031325999536, 0.8877721117200618]",919
53,"[0.15284419752687145, 0.7694768471402736, 0.07767895533285489]",774
54,"[0.024042784438412797, 0.41895416149893366, 0.5570030540626535]",771
55,"[0.007875660927249842, 0.414301095233933, 0.5778232438388171]",857
56,"[0.03949987740336268, 0.7030413140258659, 0.2574588085707715]",650
57,"[0.010208298469061372, 0.03341789288124881, 0.9563738086496897]",331
58,"[0.39542059495315063, 0.031881788549828295, 0.572697616497021]",621
59,"[0.3830875570049142, 0.18723272131957344, 0.42967972167551244]",655
60,"[0.041981685912745544, 0.02998440572217356, 0.9280339083650809]",805
61,"[0.058452070818079786, 0.016723765182512274, 0.9248241639994079]",808
62,"[0.1718030926610325, 0.11489650262179789, 0.7133004047171697]",794
63,"[0.20003514870239092, 0.7220951384215446, 0.07786971287606445]",690
64,"[0.024185628600862957, 0.6835943138246332, 0.29222005757450376]",715
65,"[0.9424933226821478, 0.01732966347963478, 0.040177013838217444]",757
66,"[0.1775152474872268, 0.7210766712420524, 0.10140808127072073]",721
67,"[0.9546655684466486, 0.03418945906275856, 0.01114497249059285]",326
68,"[0.103778466121459, 0.8550872696700099, 0.04113426420853118]",599
69,"[0.028935063888562994, 0.9554747181743017, 0.01559021793713516]",336
70,"[0.7638218510702761, 0.014555025677815279, 0.22162312325190872]",762
71,"[0.08832337645336, 0.75018549437111, 0.16149112917552996]",635
72,"[0.9609617133867232, 0.01199103985359568, 0.02704724675968117]",611
73,"[0.013050509802953539, 0.041245458831991204, 0.9457040313650552]",333
74,"[0.010664241563008577, 0.2766340095981642, 0.7127017488388272]",597
75,"[0.9044402225058039, 0.06360969116277902, 0.03195008633141706]",725
76,"[0.894170698065973, 0.038563347106730955, 0.06726595482729603]",640
77,"[0.025630459493182055, 0.9272337707397045, 0.04713576976711334]",589
78,"[0.03629128009778438, 0.8481492027707684, 0.11555951713144706]",612
79,"[0.017032884784609667, 0.024734085486252954, 0.9582330297291374]",323
80,"[0.8325389117819896, 0.04073608707594918, 0.1267250011420612]",604
81,"[0.0194391418585838, 0.028761238348641152, 0.951799619792775]",825
82,"[0.014655486409554275, 0.3216945198861909, 0.6636499937042548]",830
84,"[0.9760952602252642, 0.012117910989033955, 0.011786828785701895]",831
85,"[0.41670748403139873, 0.5711938452695259, 0.012098670699075307]",764
86,"[0.006707949671758886, 0.008906628147273657, 0.9843854221809675]",816
90,"[0.039166528255999325, 0.04612077325068616, 0.9147126984933145]",884
91,"[0.08753415439204956, 0.7197429761925327, 0.19272286941541777]",718
93,"[0.021115770560758872, 0.9663827668360643, 0.012501462603177006]",323
94,"[0.3360376141190265, 0.4634755457261419, 0.20048684015483162]",692
97,"[0.566905425808113, 0.037084919175173855, 0.3960096550167132]",654
98,"[0.09199986063472154, 0.022815698591332634, 0.8851844407739459]",817
99,"[0.09033894229683881, 0.02363227748622649, 0.8860287802169348]",673
100,"[0.1487212845410707, 0.02773382555811794, 0.8235448899008114]",733
102,"[0.6006596667380215, 0.3731954516314342, 0.02614488163054433]",676
103,"[0.9225325840657033, 0.0467683477936082, 0.030699068140688568]",751
106,"[0.013292197514271959, 0.34602035009480037, 0.6406874523909276]",805
107,"[0.6174556243138215, 0.15419036358600804, 0.22835401210017053]",661
109,"[0.00872152222003972, 0.13275356575459002, 0.8585249120253703]",776
111,"[0.9768574241803897, 0.01380005737932546, 0.009342518440284964]",329
112,"[0.010737948758628643, 0.14150738244297414, 0.8477546687983972]",944
113,"[0.653725656901248, 0.2942836069597916, 0.05199073613896043]",740
114,"[0.7700875954274053, 0.21825158945651202, 0.011660815116082636]",315
115,"[0.013211221676702847, 0.0272083176567988, 0.9595804606664984]",769
118,"[0.03513248214220817, 0.0287499308959142, 0.9361175869618775]",779
121,"[0.9288966593304733, 0.050686144693515664, 0.020417195976011177]",655
122,"[0.04719608877112118, 0.024936531625838462, 0.9278673796030403]",766
123,"[0.46367975766699493, 0.1526322459359957, 0.38368799639700946]",650
126,"[0.022434817282069947, 0.02797147183715173, 0.9495937108807784]",896
127,"[0.1775032204527291, 0.03177674739677953, 0.7907200321504914]",786
129,"[0.8714178128967639, 0.04030280132105857, 0.08827938578217752]",632
132,"[0.8020648669256608, 0.17869741585944457, 0.01923771721489461]",726
133,"[0.8346860266314284, 0.15407341202979216, 0.011240561338779374]",651
139,"[0.040014612168864976, 0.8883009361767182, 0.0716844516544167]",593
140,"[0.2554161292499031, 0.7085723060162614, 0.036011564733835516]",312
142,"[0.009202467302316508, 0.6828917423764992, 0.3079057903211842]",654
143,"[0.5060771228601354, 0.0997074742695802, 0.3942154028702845]",685
144,"[0.9711575107435666, 0.013650960620708537, 0.015191528635724918]",789
145,"[0.013378908829871314, 0.3816794571317553, 0.6049416340383734]",885
148,"[0.949153032043561, 0.032393807213596096, 0.018453160742842863]",936
149,"[0.08480194363813252, 0.7259598324758267, 0.1892382238860407]",663
154,"[0.00782631547497107, 0.01330614569556804, 0.978867538829461]",321
156,"[0.3495382672480207, 0.031295548468434534, 0.6191661842835448]",642
158,"[0.041234696189634136, 0.01451906602636893, 0.9442462377839969]",740
163,"[0.9349903132984713, 0.04109262774474009, 0.023917058956788795]",880
166,"[0.008219872611531513, 0.30100361182172825, 0.6907765155667402]",800
170,"[0.024973363731117727, 0.05437489501907637, 0.9206517412498058]",708
173,"[0.07041372019981089, 0.13925080219074765, 0.7903354776094415]",757
179,"[0.918933141137501, 0.03326517460680832, 0.04780168425569063]",817
183,"[0.009960351818291049, 0.011832950337126242, 0.9782066978445826]",329
186,"[0.9705490543638584, 0.018442382162143917, 0.011008563473997732]",704
190,"[0.033152707756866996, 0.10201677906639285, 0.8648305131767401]",818
192,"[0.9500760911248716, 0.039482053924805395, 0.010441854950323045]",791
196,"[0.019877781792229873, 0.011747241469901611, 0.9683749767378685]",774
207,"[0.9608903298302662, 0.016613245079970855, 0.022496425089762764]",708
210,"[0.944957809554901, 0.03889295811047678, 0.016149232334622222]",859
214,"[0.7604697457065944, 0.19293762207625734, 0.04659263221714831]",771
215,"[0.9781106890645161, 0.014036967290551481, 0.00785234364493232]",947
223,"[0.9339515540647824, 0.020344809067103186, 0.04570363686811439]",808
254,"[0.945739976353848, 0.017405699614283232, 0.03685432403186867]",793
283,"[0.9594817636944325, 0.008566117474157357, 0.03195211883141012]",809
289,"[0.9521702469181192, 0.03765921702219537, 0.010170536059685296]",631
297,"[0.9322114855273683, 0.014478824566533804, 0.053309689906097954]",708
302,"[0.8952396929379438, 0.04150774914395848, 0.06325255791809771]",813
306,"[0.07991274156547272, 0.010023496083580836, 0.9100637623509464]",757
307,"[0.9407341484792177, 0.015393413656003089, 0.0438724378647793]",753
316,"[0.03484718859131919, 0.020141158533037145, 0.9450116528756437]",954
319,"[0.9506908822593777, 0.03876292086703944, 0.010546196873582787]",791
326,"[0.8937924718298168, 0.0508252064583384, 0.0553823217118448]",699
