,trial,judgment,num_cols
0,1,"[0.35443037974683544, 0.006329113924050633, 0.639240506329114]",545
1,2,"[0.514792899408284, 0.0059171597633136085, 0.4792899408284023]",534
2,3,"[0.009708737864077669, 0.9805825242718447, 0.009708737864077669]",590
3,4,"[0.009708737864077669, 0.009708737864077669, 0.9805825242718447]",597
4,5,"[0.2072072072072072, 0.7837837837837838, 0.009009009009009007]",594
5,6,"[0.8974358974358975, 0.05128205128205129, 0.05128205128205129]",638
6,7,"[0.012048192771084338, 0.21686746987951808, 0.7710843373493976]",580
7,8,"[0.39920948616600793, 0.38735177865612647, 0.2134387351778656]",650
8,9,"[0.9512195121951219, 0.024390243902439025, 0.024390243902439025]",538
9,10,"[0.5052631578947369, 0.005263157894736842, 0.48947368421052634]",513
10,11,"[0.034482758620689655, 0.034482758620689655, 0.9310344827586207]",658
11,12,"[0.46875, 0.010416666666666666, 0.5208333333333334]",643
12,13,"[0.6808510638297873, 0.30851063829787234, 0.010638297872340427]",621
13,14,"[0.03846153846153846, 0.03846153846153846, 0.9230769230769231]",587
14,15,"[0.4975369458128079, 0.0049261083743842365, 0.4975369458128079]",403
15,16,"[0.008403361344537815, 0.7815126050420168, 0.21008403361344535]",618
16,17,"[0.9528301886792453, 0.009433962264150943, 0.03773584905660377]",640
17,18,"[0.008771929824561403, 0.7456140350877194, 0.2456140350877193]",589
18,19,"[0.9805825242718447, 0.009708737864077669, 0.009708737864077669]",522
19,20,"[0.6904761904761905, 0.011904761904761904, 0.2976190476190476]",581
20,21,"[0.009708737864077669, 0.9805825242718447, 0.009708737864077669]",701
21,22,"[0.007874015748031496, 0.4960629921259842, 0.4960629921259842]",699
22,23,"[0.4302325581395348, 0.3255813953488372, 0.2441860465116279]",769
23,24,"[0.009708737864077669, 0.009708737864077669, 0.9805825242718447]",689
24,25,"[0.4444444444444445, 0.5213675213675214, 0.03418803418803419]",714
25,26,"[0.009708737864077669, 0.009708737864077669, 0.9805825242718447]",561
26,27,"[0.009708737864077669, 0.009708737864077669, 0.9805825242718447]",614
27,28,"[0.5428571428571429, 0.4514285714285714, 0.005714285714285714]",529
28,29,"[0.9775280898876405, 0.011235955056179775, 0.011235955056179775]",417
29,30,"[0.009708737864077669, 0.9805825242718447, 0.009708737864077669]",639
30,31,"[0.9607843137254902, 0.00980392156862745, 0.029411764705882353]",703
31,32,"[0.4770642201834863, 0.009174311926605505, 0.5137614678899083]",598
32,33,"[0.009708737864077669, 0.9805825242718447, 0.009708737864077669]",688
33,34,"[0.85, 0.0125, 0.1375]",577
34,35,"[0.5084745762711864, 0.00847457627118644, 0.4830508474576271]",717
35,36,"[0.19685039370078738, 0.007874015748031496, 0.795275590551181]",590
36,37,"[0.3838383838383838, 0.6060606060606061, 0.0101010101010101]",608
37,38,"[0.07692307692307691, 0.07692307692307691, 0.8461538461538461]",584
38,39,"[0.6190476190476191, 0.006802721088435374, 0.37414965986394555]",579
39,40,"[0.875, 0.0625, 0.0625]",660
40,41,"[0.5043478260869565, 0.008695652173913042, 0.4869565217391304]",638
41,42,"[0.5111111111111111, 0.037037037037037035, 0.45185185185185184]",734
42,43,"[0.4784688995215311, 0.3110047846889952, 0.21052631578947367]",694
43,44,"[0.12396694214876035, 0.5206611570247934, 0.3553719008264463]",747
44,45,"[0.8, 0.1875, 0.0125]",581
45,46,"[0.25373134328358204, 0.7388059701492536, 0.007462686567164178]",569
46,47,"[0.005263157894736842, 0.531578947368421, 0.4631578947368421]",513
47,48,"[0.3455882352941177, 0.28308823529411764, 0.3713235294117647]",631
48,49,"[0.23448275862068968, 0.26896551724137935, 0.4965517241379311]",744
49,50,"[0.15625, 0.6312500000000001, 0.2125]",745
50,51,"[0.5755395683453237, 0.007194244604316546, 0.41726618705035967]",564
51,52,"[0.16666666666666666, 0.16666666666666666, 0.6666666666666666]",667
52,53,"[0.11578947368421054, 0.8, 0.08421052631578949]",692
53,54,"[0.058823529411764705, 0.5294117647058824, 0.411764705882353]",621
54,55,"[0.008333333333333333, 0.5, 0.49166666666666664]",695
55,56,"[0.28019323671497587, 0.48309178743961356, 0.23671497584541065]",697
