trial,judgment,num_cols
1,"[0.09746838859279919, 0.13360136191021335, 0.7689302494969875]",579
2,"[0.09327512741390044, 0.16012974912944697, 0.7465951234566526]",596
3,"[0.08781641969634997, 0.8936148459990534, 0.01856873430459671]",357
4,"[0.010821793134996338, 0.03726580820039433, 0.9519123986646093]",330
5,"[0.0837744565715075, 0.7351742933218359, 0.18105125010665662]",616
6,"[0.7232995745877963, 0.20892340052024347, 0.06777702489196026]",699
7,"[0.014722003095122298, 0.052525734972571826, 0.9327522619323059]",741
8,"[0.5483394447853797, 0.2701493679901738, 0.18151118722444645]",624
9,"[0.9384719004133021, 0.02631117465813198, 0.035216924928565874]",709
10,"[0.4859975660104719, 0.0855822990093816, 0.4284201349801465]",572
11,"[0.01576352746947152, 0.022913250346051076, 0.9613232221844773]",1101
12,"[0.913821334121667, 0.033668094148107106, 0.052510571730225976]",724
13,"[0.5861919708239735, 0.4017735563652483, 0.012034472810778341]",775
14,"[0.023000053460826002, 0.03148090390959989, 0.9455190426295741]",836
15,"[0.8516540275192684, 0.09721660465809649, 0.0511293678226352]",330
16,"[0.1719772053825685, 0.802424099224965, 0.025598695392466318]",569
17,"[0.7912028499865116, 0.13658457735279847, 0.07221257266069]",591
18,"[0.17499014525208945, 0.7920588845558748, 0.03295097019203598]",593
19,"[0.9007256761577486, 0.08110349722418705, 0.018170826618064427]",334
20,"[0.9330242395124506, 0.017687480361765956, 0.04928828012578333]",727
21,"[0.031097227364610097, 0.9488555564626724, 0.020047216172717583]",360
22,"[0.00839742226562525, 0.46421742268138616, 0.5273851550529887]",841
23,"[0.05005287242926825, 0.17909978168418036, 0.7708473458865513]",762
24,"[0.020049808636933526, 0.05201639719633855, 0.9279337941667279]",349
25,"[0.25223612258430633, 0.6221503534879397, 0.12561352392775388]",742
26,"[0.014241020093321139, 0.09034323242650388, 0.8954157474801749]",342
27,"[0.016785840900907834, 0.06804890264278751, 0.9151652564563046]",341
28,"[0.10724265771733736, 0.7193464106960229, 0.17341093158663984]",597
29,"[0.6898791447200363, 0.14079927417440644, 0.16932158110555726]",540
30,"[0.04857534309617288, 0.933934237393332, 0.017490419510494973]",362
31,"[0.8122773777258946, 0.15349530249293158, 0.034227319781173764]",604
32,"[0.25986264851328245, 0.17304782250369516, 0.5670895289830223]",639
33,"[0.02067762404098324, 0.9551901773497763, 0.024132198609240475]",336
34,"[0.8913294805370525, 0.021328434223384186, 0.08734208523956331]",751
35,"[0.16275587248209356, 0.18122368216361015, 0.6560204453542964]",744
36,"[0.03002999149997335, 0.10894254523668014, 0.8610274632633464]",578
37,"[0.3767881535465574, 0.6052499201616316, 0.017961926291811012]",750
38,"[0.04575614302434843, 0.04026066286563587, 0.9139831941100157]",793
39,"[0.7182997707678874, 0.14465817711615137, 0.13704205211596124]",624
40,"[0.9477931615769675, 0.02885922605343093, 0.023347612369601617]",871
41,"[0.05582403050480508, 0.01548178399114562, 0.9286941855040494]",825
42,"[0.0539925900264357, 0.14932144759258822, 0.796685962380976]",773
43,"[0.5486040878509147, 0.2920141990877678, 0.15938171306131738]",668
44,"[0.046104095514639926, 0.11371991052345606, 0.840175993961904]",770
45,"[0.9532288221061307, 0.03787769757667519, 0.008893480317194018]",776
46,"[0.03850458857304402, 0.8067189150876973, 0.1547764963392587]",561
47,"[0.057361034476513056, 0.5069793633327464, 0.43565960219074046]",588
48,"[0.34160693043422724, 0.2661363898828609, 0.3922566796829118]",624
49,"[0.047965287080845534, 0.030694910562195057, 0.9213398023569593]",821
50,"[0.07313830955717252, 0.6019993827145664, 0.3248623077282612]",672
51,"[0.5935926319270868, 0.13575043016588448, 0.27065693790702877]",634
52,"[0.03745186496651595, 0.04689641675731171, 0.9156517182761723]",943
53,"[0.20606899721702632, 0.6514972058323756, 0.14243379695059818]",749
54,"[0.02033905870059293, 0.4160268085060595, 0.5636341327933475]",768
55,"[0.008471436322972767, 0.4217197931198473, 0.5698087705571798]",861
56,"[0.04852660938826784, 0.6476353597341578, 0.3038380308775745]",658
57,"[0.013068591519947293, 0.08790495329568138, 0.8990264551843713]",344
58,"[0.3737083536398644, 0.09441783119435201, 0.5318738151657838]",604
59,"[0.37769983145360636, 0.21278139862768133, 0.4095187699187123]",659
60,"[0.049791546773192086, 0.06435011520179072, 0.8858583380250172]",800
61,"[0.06531616094317814, 0.021398544048908015, 0.9132852950079139]",810
62,"[0.34028193629903863, 0.06087038279160197, 0.5988476809093594]",793
63,"[0.2600736930709811, 0.6602431247429306, 0.07968318218608829]",698
64,"[0.027571217639157836, 0.6401616328566913, 0.3322671495041509]",721
65,"[0.9112955772131389, 0.02276224040679883, 0.06594218238006229]",750
66,"[0.24439975398680833, 0.643569748347341, 0.11203049766585056]",732
67,"[0.9081286523708514, 0.08034929020934768, 0.01152205741980099]",338
68,"[0.11538770836502568, 0.752103980268629, 0.13250831136634536]",583
69,"[0.07769820365109391, 0.9040780208190161, 0.018223775529890022]",345
70,"[0.738679330602991, 0.02933216256523418, 0.23198850683177494]",758
71,"[0.13388219478406874, 0.6752820648930864, 0.19083574032284495]",645
72,"[0.9421055528783739, 0.026903434360691755, 0.030991012760934272]",604
73,"[0.02487054689685867, 0.06884385279158452, 0.9062856003115568]",347
74,"[0.02806095418645792, 0.3018841142762928, 0.6700549315372493]",590
75,"[0.7572829031497145, 0.20588879075298344, 0.03682830609730213]",712
76,"[0.8564067335897324, 0.02480842976142024, 0.11878483664884738]",633
77,"[0.03396232216101996, 0.7206250385819161, 0.245412639257064]",544
78,"[0.14880428448292718, 0.7287219572574305, 0.12247375825964234]",578
