trial,judgment,num_cols
1,"[0.17804688602322935, 0.3501393286609887, 0.47181378531578205]",526
2,"[0.1627035359517416, 0.38251331918114634, 0.4547831448671121]",520
3,"[0.24828368479590426, 0.7039881205922272, 0.04772819461186857]",411
4,"[0.052301294368165885, 0.06632122342078704, 0.8813774822110472]",354
5,"[0.09843066139437649, 0.4524903336623558, 0.44907900494326775]",536
6,"[0.4672977354214551, 0.3660462316473366, 0.16665603293120826]",666
7,"[0.04060996044585803, 0.17759829035403543, 0.7817917492001066]",706
8,"[0.43731647123365247, 0.30630232888496883, 0.25638119988137875]",638
9,"[0.8127072273419138, 0.045825231697627915, 0.14146754096045813]",686
10,"[0.37274716224942095, 0.2791145455464263, 0.3481382922041528]",517
11,"[0.020706902774030186, 0.031204638839800233, 0.9480884583861696]",1083
12,"[0.8527680628229125, 0.08092770579477161, 0.06630423138231593]",699
13,"[0.520537674888405, 0.44440719979168886, 0.035055125319906226]",754
14,"[0.07056325752557147, 0.03558871870269067, 0.8938480237717379]",822
15,"[0.6575363286771787, 0.23958724499668568, 0.10287642632613553]",376
16,"[0.4619983319673641, 0.49194589406134626, 0.04605577397128966]",493
17,"[0.48508888920459053, 0.35980304440847527, 0.1551080663869342]",584
18,"[0.46372489885118495, 0.49488728708847113, 0.0413878140603439]",498
19,"[0.7598473051416823, 0.20418830349559292, 0.035964391362724744]",384
20,"[0.8256181029662352, 0.04700432477785635, 0.1273775722559085]",700
21,"[0.10236927971083257, 0.8253085030228912, 0.0723222172662762]",410
22,"[0.02957283138509138, 0.47096446039618944, 0.49946270821871924]",830
23,"[0.061722803847390595, 0.24256334289422313, 0.6957138532583863]",772
24,"[0.043387585367883494, 0.14498876177970405, 0.8116236528524124]",396
25,"[0.2989609885953911, 0.4354874074664287, 0.26555160393818017]",726
26,"[0.05432205944989708, 0.19674480350648987, 0.748933137043613]",393
27,"[0.04823985063540014, 0.1642768464278164, 0.7874833029367834]",391
28,"[0.1354590760774995, 0.43880257718515475, 0.42573834673734584]",506
29,"[0.3407265148275591, 0.2986354287329899, 0.3606380564394509]",424
30,"[0.1418710315635207, 0.8103897542681904, 0.04773921416828876]",417
31,"[0.5140165726573234, 0.39764926123623706, 0.0883341661064396]",543
32,"[0.2536231893790894, 0.385349000222517, 0.3610278103983936]",573
33,"[0.03676708720692396, 0.8570556385153297, 0.10617727427774634]",391
34,"[0.7186780600971907, 0.05321828991542712, 0.22810364998738222]",711
35,"[0.1615924236518869, 0.3667731742297402, 0.471634402118373]",706
36,"[0.09663539401709466, 0.3471498357433968, 0.5562147702395086]",550
37,"[0.43199330426536175, 0.5185210770391054, 0.049485618695532814]",729
38,"[0.05431205967332822, 0.053339304025538284, 0.8923486363011336]",788
39,"[0.455936720643695, 0.3586676983735005, 0.18539558098280465]",559
40,"[0.8989269389734993, 0.040806456690783616, 0.060266604335717115]",873
41,"[0.1100126651015108, 0.05121938867636267, 0.8387679462221266]",814
42,"[0.06635342188996174, 0.3104955603451998, 0.6231510177648385]",746
