,trial,judgment,num_cols
0,1,"[0.01407040519836363, 0.06452994251549887, 0.9213996522861376]",545
1,2,"[0.02830602150203033, 0.06883706653841094, 0.9028569119595587]",534
2,3,"[0.03323458414650287, 0.9659920391762544, 0.0007733766772427363]",590
3,4,"[0.0007501298087920235, 0.007386748973349945, 0.991863121217858]",597
4,5,"[0.052493700006737226, 0.8720584674779209, 0.07544783251534176]",594
5,6,"[0.847768183445956, 0.1448799213190553, 0.007351895234988795]",638
6,7,"[0.00020668287349792224, 0.007458731017985071, 0.9923345861085171]",580
7,8,"[0.6982980848319877, 0.16485726612170848, 0.13684464904630392]",650
8,9,"[0.9968067662796173, 0.0004162760983858205, 0.0027769576219967926]",538
9,10,"[0.51882072815227, 0.03389692369795451, 0.4472823481497756]",513
10,11,"[0.00034257484717594165, 0.0006614385310626389, 0.9989959866217614]",658
11,12,"[0.9802868935797999, 0.000999059925532537, 0.018714046494667524]",643
12,13,"[0.6080604466685641, 0.3917326295317748, 0.00020692379966119463]",621
13,14,"[0.0015577428489689992, 0.0010531014973180779, 0.9973891556537129]",587
14,15,"[0.9528862028369055, 0.03717982337276153, 0.00993397379033298]",403
15,16,"[0.07726213720990324, 0.917312145272918, 0.005425717517178744]",618
16,17,"[0.9167234308276997, 0.07144583384863772, 0.01183073532366265]",640
17,18,"[0.06695278646311359, 0.9255223451342723, 0.007524868402613982]",589
18,19,"[0.9628024624983895, 0.036699920321638886, 0.0004976171799715481]",522
19,20,"[0.9911041329620812, 0.00028046125837686046, 0.00861540577954191]",581
20,21,"[0.003914135228956212, 0.99480444348326, 0.0012814212877837214]",701
21,22,"[0.00012866300765896772, 0.5543583128149508, 0.44551302417739014]",699
22,23,"[0.02643973856772456, 0.13626628712325214, 0.8372939743090232]",769
23,24,"[0.00029959632887116577, 0.015063082533736723, 0.984637321137392]",689
24,25,"[0.07380020873363746, 0.8346188143007113, 0.0915809769656512]",714
25,26,"[0.0005540841742966906, 0.026342320907354097, 0.9731035949183492]",561
26,27,"[0.00038037087189840004, 0.021772494962741543, 0.97784713416536]",614
27,28,"[0.033846005571781274, 0.8791518521392205, 0.0870021422889982]",529
28,29,"[0.8384702978492617, 0.06653310641692725, 0.09499659573381102]",417
29,30,"[0.01247312245305725, 0.9866317986312079, 0.000895078915734927]",639
30,31,"[0.9284771390647457, 0.06596363265150487, 0.005559228283749432]",703
31,32,"[0.32441549057643365, 0.10613424441933644, 0.5694502650042299]",598
32,33,"[0.00026738045260267713, 0.9990359756061242, 0.0006966439412730923]",688
33,34,"[0.9736973221140673, 0.0006754780821869808, 0.02562719980374578]",577
34,35,"[0.30778462240526333, 0.0894698131694339, 0.6027455644253027]",717
35,36,"[0.019826439252306705, 0.03085713446219284, 0.9493164262855004]",590
36,37,"[0.405791072882383, 0.5937310669721219, 0.0004778601454951752]",608
37,38,"[0.005881199309999416, 0.0027658582388767694, 0.9913529424511238]",584
38,39,"[0.7078557763297458, 0.058567010580345295, 0.23357721308990895]",579
39,40,"[0.9958218293269685, 0.0016667842966647801, 0.0025113863763667316]",660
40,41,"[0.02333392898965363, 0.00038682481728339235, 0.976279246193063]",638
41,42,"[0.012697308625261373, 0.0762737096576446, 0.911028981717094]",734
42,43,"[0.602654163821665, 0.2113453042247545, 0.18600053195358052]",694
43,44,"[0.014088438779206016, 0.03374418928651406, 0.9521673719342799]",747
44,45,"[0.9887011643784606, 0.011151929074457015, 0.00014690654708246096]",581
45,46,"[0.006412680031388864, 0.9160142176843749, 0.07757310228423635]",569
46,47,"[0.010570379792420872, 0.5436787722852305, 0.44575084792234865]",513
47,48,"[0.34811582411580144, 0.22684401643672947, 0.4250401594474691]",631
48,49,"[0.00895583555371288, 0.008116879673159313, 0.9829272847731277]",744
49,50,"[0.04964624290747546, 0.719136029755817, 0.23121772733670748]",745
50,51,"[0.8017520879863682, 0.06750082347263796, 0.13074708854099396]",564
51,52,"[0.005195628299135204, 0.0027747207103116464, 0.9920296509905531]",667
52,53,"[0.1165684482006446, 0.7679043748477099, 0.1155271769516454]",692
53,54,"[0.001220084288256192, 0.35265243004305175, 0.646127485668692]",621
54,55,"[0.0001421111234244868, 0.33256848670633293, 0.6672894021702426]",695
55,56,"[0.01767745515636508, 0.7768415445512086, 0.20548100029242633]",697
56,57,"[0.0015634385099034633, 0.0343078073484059, 0.9641287541416907]",577
57,58,"[0.46926617522690905, 0.04052774173987225, 0.4902060830332188]",524
58,59,"[0.38409604296483707, 0.15114554620886905, 0.46475841082629393]",692
59,60,"[0.007804143368376653, 0.03664430247845046, 0.9555515541531728]",738
60,61,"[0.017047239534872277, 0.0010664947144993614, 0.9818862657506283]",645
61,62,"[0.2808324210778049, 0.020906068688370787, 0.6982615102338244]",729
62,63,"[0.1721432471945085, 0.8124517514439901, 0.015405001361501545]",715
63,64,"[0.009782896930523893, 0.7025064060856707, 0.28771069698380536]",744
64,65,"[0.9906954601086452, 0.0010066905675057232, 0.008297849323849034]",572
65,66,"[0.15364082070654564, 0.8099309195951749, 0.03642825969827942]",724
66,67,"[0.9756949694813135, 0.024019495726663558, 0.00028553479202299373]",612
67,68,"[0.032363845896203496, 0.9092487122001911, 0.05838744190360538]",561
68,69,"[0.028806982794460242, 0.9704753924910463, 0.0007176247144934163]",625
69,70,"[0.8506350886046247, 0.008467962793139973, 0.14089694860223523]",742
70,71,"[0.09951387884328791, 0.8124537269917579, 0.08803239416495424]",714
71,72,"[0.9948622406085358, 0.0011056751478672232, 0.004032084243596984]",617
72,73,"[0.0021063585481069617, 0.026032162072105704, 0.9718614793797873]",583
73,74,"[0.0017870697642741128, 0.16644425570741675, 0.8317686745283092]",504
74,75,"[0.8997767235061245, 0.0940740920644475, 0.006149184429428027]",672
75,76,"[0.9822088975925611, 0.0009241266215718641, 0.016866975785867024]",529
76,77,"[0.008061532379296387, 0.8779150439621328, 0.11402342365857075]",587
77,78,"[0.06744486429063364, 0.8512729224907525, 0.08128221321861394]",541
78,79,"[0.0002574896855719374, 0.020058340469288612, 0.9796841698451394]",593
79,80,"[0.8453519257184677, 0.07604183996868895, 0.07860623431284332]",576
80,81,"[0.0009783152745765596, 0.0012053486324831498, 0.9978163360929403]",588
81,82,"[0.00014767184836471985, 0.38271490058520896, 0.6171374275664263]",638
82,84,"[0.9933444882796838, 0.006442920479498137, 0.0002125912408179446]",589
83,85,"[0.43743177498530755, 0.5624004723760861, 0.00016775263860615005]",618
84,86,"[0.00014313506741590938, 0.004227372639618231, 0.9956294922929659]",583
85,90,"[0.0013138299356641053, 0.001788826609769571, 0.9968973434545664]",674
86,91,"[0.02406842016708651, 0.7777190496540155, 0.19821253017889795]",721
