trial,judgment,num_cols
1,"[0.11315707242719397, 0.34496922481448494, 0.541873702758321]",532
2,"[0.09426126073484478, 0.3890248164572582, 0.516713922807897]",515
3,"[0.21653577296714646, 0.7569042539040695, 0.026559973128784095]",399
4,"[0.022315734429656963, 0.052302509812158365, 0.9253817557581846]",345
5,"[0.080531930088706, 0.4920364996961123, 0.4274315702151817]",540
6,"[0.5174998526127408, 0.3689604610439569, 0.11353968634330237]",672
7,"[0.019866488991173617, 0.10683500518460184, 0.8732985058242245]",729
8,"[0.48817082257673206, 0.2739558839090196, 0.23787329351424832]",635
9,"[0.8967273864602627, 0.027920244403723787, 0.07535236913601356]",702
10,"[0.3938096920696864, 0.24982408942565382, 0.3563662185046598]",525
11,"[0.016424211469752134, 0.026379706815241644, 0.9571960817150063]",1100
12,"[0.900335381377874, 0.046018758327499666, 0.053645860294626334]",708
13,"[0.5247267673841174, 0.45723294594339614, 0.018040286672486448]",758
14,"[0.04096980305299762, 0.032986471450509904, 0.9260437254964924]",833
15,"[0.7178021086830148, 0.22440860745728275, 0.05778928385970259]",369
16,"[0.43119010319949763, 0.5384641295954774, 0.030345767205025086]",502
17,"[0.5400353163341748, 0.339773382691907, 0.12019130097391822]",570
18,"[0.430571318217916, 0.5342408374986479, 0.03518784428343608]",512
19,"[0.7911484211648133, 0.18346475114325672, 0.02538682769192994]",367
20,"[0.8995520615914924, 0.024541723970553094, 0.07590621443795444]",718
21,"[0.06482507018485867, 0.8900614937417413, 0.04511343607339993]",377
22,"[0.01491756161419507, 0.48160438307214176, 0.5034780553136632]",837
23,"[0.046002191245414374, 0.21403977653623402, 0.7399580322183515]",768
24,"[0.03179609194646079, 0.11532771698962924, 0.8528761910639101]",381
25,"[0.24187524148052914, 0.4964969391744326, 0.26162781934503826]",723
26,"[0.03535453048574506, 0.18745826750764544, 0.7771872020066095]",378
27,"[0.02688736095888097, 0.1374612967041524, 0.8356513423369666]",374
28,"[0.09089946171970008, 0.4970530621336772, 0.4120474761466227]",508
29,"[0.37174549726529044, 0.28352193436667283, 0.3447325683680368]",438
30,"[0.10581272921356341, 0.8649104998541072, 0.029276770932329412]",392
31,"[0.5623256563601463, 0.38081082509868813, 0.05686351854116552]",535
32,"[0.22760105155486413, 0.3880218151921367, 0.38437713325299916]",569
33,"[0.028048661586430733, 0.9161317828200122, 0.055819555593556974]",362
34,"[0.8130001434847737, 0.029901520483472426, 0.15709833603175388]",727
35,"[0.141056526582761, 0.360934519056215, 0.498008954361024]",711
36,"[0.06575210652304694, 0.30896421311482786, 0.6252836803621251]",539
37,"[0.4317648157436988, 0.5404120772686081, 0.027823106987692994]",742
38,"[0.0461004113159337, 0.042614838896707696, 0.9112847497873586]",793
39,"[0.5119295127235188, 0.3513922595751265, 0.13667822770135468]",551
40,"[0.9330902618107718, 0.031824167772775476, 0.03508557041645275]",880
41,"[0.06763583015525126, 0.027216515704689956, 0.9051476541400589]",816
42,"[0.04694334242737711, 0.2776358770216465, 0.6754207805509765]",751
43,"[0.4803588888630237, 0.311145098380614, 0.20849601275636231]",683
44,"[0.11061391274805638, 0.12083202191066561, 0.768554065341278]",769
45,"[0.9077537735410534, 0.07960679550892745, 0.012639430950019175]",776
46,"[0.049926419631667975, 0.553489847169845, 0.39658373319848716]",496
47,"[0.18736901953737878, 0.4300132089371444, 0.3826177715254768]",556
48,"[0.3364795167722152, 0.28918089844765016, 0.3743395847801347]",626
49,"[0.059068006065323614, 0.08212428558853781, 0.8588077083461386]",817
50,"[0.12653338132598757, 0.4832992229202228, 0.39016739575378956]",712
51,"[0.4229735496380915, 0.317636663759023, 0.25938978660288553]",568
52,"[0.0315025361693412, 0.03536590555759075, 0.9331315582730682]",954
53,"[0.2633601966927576, 0.4689725883526711, 0.26766721495457113]",709
54,"[0.01672144594031279, 0.405564564642637, 0.5777139894170501]",769
55,"[0.013028645855928216, 0.4171391647032195, 0.5698321894408523]",862
56,"[0.07193875385472658, 0.5619351703037341, 0.3661260758415394]",672
57,"[0.023491533706923955, 0.20779516477719862, 0.7687133015158775]",377
58,"[0.3169282903349248, 0.2670774583108984, 0.41599425135417684]",563
59,"[0.36613989690779913, 0.2612868095735762, 0.3725732935186247]",668
60,"[0.06123855332661398, 0.1051166805887711, 0.8336447660846149]",791
61,"[0.07920123016475589, 0.038394574460728, 0.8824041953745162]",805
62,"[0.40273663198632137, 0.07442707597448968, 0.5228362920391889]",785
63,"[0.38343900361864963, 0.5341815026393552, 0.08237949374199528]",722
64,"[0.03441643639251706, 0.5668089555652341, 0.39877460804224873]",734
65,"[0.8401141582186912, 0.04135723191751055, 0.1185286098637982]",742
66,"[0.34111804883322533, 0.5277850003608172, 0.13109695080595754]",755
67,"[0.7860079358800591, 0.19706453156222323, 0.01692753255771777]",374
68,"[0.11485615553819015, 0.5341632822113005, 0.35098056225050944]",534
69,"[0.19605205473923004, 0.7842504316323732, 0.019697513628396782]",378
70,"[0.70266558922453, 0.09154608845205703, 0.20578832232341293]",753
71,"[0.2344912456273499, 0.5539315276991932, 0.21157722667345688]",677
72,"[0.8696182785210819, 0.09054513399549072, 0.039836587483427534]",583
73,"[0.04333945135452074, 0.12010588660203339, 0.8365546620434459]",379
74,"[0.10565166883108486, 0.3040749292451467, 0.5902734019237685]",567
75,"[0.5681273855723905, 0.38610438905479194, 0.045768225372817516]",689
76,"[0.8258802114954712, 0.03164660431318553, 0.1424731841913434]",633
77,"[0.04608203687094701, 0.4142076166292656, 0.5397103464997873]",450
78,"[0.38034758388895934, 0.502638647015811, 0.11701376909522969]",514
79,"[0.02709773689118234, 0.1512333474791512, 0.8216689156296665]",383
80,"[0.5010698626352682, 0.34207316464613374, 0.15685697271859803]",527
81,"[0.02585664892862096, 0.04311065314217475, 0.9310326979292043]",822
82,"[0.020816332277331002, 0.3904319575323023, 0.5887517101903667]",810
84,"[0.8945318460493975, 0.08680634182999002, 0.018661812120612516]",808
85,"[0.455728817710642, 0.5213407355441093, 0.022930446745248606]",755
86,"[0.010081593757647679, 0.07868054503513663, 0.9112378612072156]",799
90,"[0.025193805983362516, 0.03138860268581174, 0.9434175913308257]",909
91,"[0.11082643399196875, 0.5288182158615018, 0.36035535014652936]",705
93,"[0.051144243356856106, 0.8783582663092265, 0.07049749033391733]",373
94,"[0.3642032844875037, 0.4463858236759647, 0.1894108918365316]",696
97,"[0.3862727622704573, 0.281852629282716, 0.3318746084468266]",581
98,"[0.12566577949711402, 0.1805656799905806, 0.6937685405123053]",781
99,"[0.07808418914675051, 0.03172973858628739, 0.890186072266962]",672
100,"[0.15827721096226413, 0.040096103830766616, 0.8016266852069693]",726
102,"[0.46969873220589087, 0.3246359325954905, 0.20566533519861865]",625
103,"[0.6849867248539263, 0.2600847326425132, 0.0549285425035605]",726
106,"[0.07433075904589724, 0.33132733025679206, 0.5943419106973107]",794
107,"[0.4415989036033705, 0.28165159474949264, 0.2767495016471368]",692
109,"[0.053910610905313454, 0.284740187196612, 0.6613492018980744]",744
111,"[0.9424867889495374, 0.036691369260942054, 0.02082184178952042]",356
112,"[0.012966411939141737, 0.21925826121638387, 0.7677753268444745]",928
113,"[0.5767843660651418, 0.3643252947698976, 0.05889033916496054]",740
114,"[0.7006959297917773, 0.2834475302456304, 0.015856539962592328]",321
115,"[0.021474542961537075, 0.1585143574065975, 0.8200110996318655]",737
118,"[0.04344331378565959, 0.07431114975248765, 0.8822455364618528]",773
121,"[0.932686636086042, 0.04954759377159441, 0.017765770142363725]",654
122,"[0.046505807761475, 0.04508203176205554, 0.9084121604764694]",754
123,"[0.40727102302250157, 0.2303062799053608, 0.3624226970721377]",663
126,"[0.023770395160812852, 0.03769196838400605, 0.9385376364551812]",889
127,"[0.16201059912620386, 0.2041473700639409, 0.6338420308098554]",758
129,"[0.4911291035558438, 0.33682649735422265, 0.17204439908993346]",585
132,"[0.7599624949323642, 0.21170494689097133, 0.028332558176664527]",727
133,"[0.8266519403564668, 0.16155585535710393, 0.011792204286429266]",655
139,"[0.37564584787109934, 0.5272063015803575, 0.09714785054854325]",498
140,"[0.293868346030877, 0.5638652295818748, 0.1422664243872481]",362
142,"[0.035541362853832664, 0.578131214536439, 0.38632742260972824]",653
143,"[0.42653611055841, 0.2282209198892416, 0.34524296955234834]",706
144,"[0.8988452504335371, 0.028054682019594913, 0.07310006754686792]",769
145,"[0.016775180303820015, 0.40388059590146674, 0.5793442237947133]",884
148,"[0.9488098899689029, 0.0333248971580478, 0.01786521287304925]",931
149,"[0.12796025245777565, 0.5308382515739023, 0.34120149596832194]",701
154,"[0.0173593252323315, 0.05055618332364413, 0.9320844914440244]",332
156,"[0.3030673325882179, 0.3051735378844545, 0.39175912952732755]",574
158,"[0.04642743736974686, 0.02357441210727116, 0.929998150522982]",732
163,"[0.9553238295026347, 0.025794164867740246, 0.018882005629625075]",889
166,"[0.011579871205881382, 0.3326455104308604, 0.6557746183632582]",805
170,"[0.06589489205465174, 0.06882487333151083, 0.8652802346138374]",703
173,"[0.08558182011429025, 0.1607601811560739, 0.7536579987296358]",761
179,"[0.8298609384777554, 0.10031535898975417, 0.06982370253249046]",807
183,"[0.02423738560759877, 0.06834653015458403, 0.9074160842378172]",357
186,"[0.9409429180119021, 0.04550795545528189, 0.013549126532816046]",695
190,"[0.06383207176457283, 0.15582573458664392, 0.7803421936487833]",810
192,"[0.8963176867520747, 0.09063161368489374, 0.013050699563031648]",778
196,"[0.025575669667760394, 0.04371843190502492, 0.9307058984272146]",769
