trial,judgment,num_cols
1,"[0.028844471781159134, 0.6088758446407001, 0.36227968357814083]",420
2,"[0.03763355120422358, 0.3585241577709125, 0.603842291024864]",545
3,"[0.13997013439240444, 0.8434168194113378, 0.016613046196257673]",358
4,"[0.010571359927512547, 0.03818947613960841, 0.951239163932879]",329
5,"[0.06735123208804876, 0.5117606538364289, 0.4208881140755223]",553
6,"[0.5445429009360885, 0.4235705179621589, 0.031886581101752534]",677
7,"[0.017359439735474498, 0.04435645950665852, 0.938284100757867]",739
8,"[0.8664081357931964, 0.06700829872079139, 0.0665835654860123]",607
9,"[0.9423606184642405, 0.024213962021322047, 0.03342541951443734]",711
10,"[0.4918879548658404, 0.35409708989915323, 0.15401495523500633]",513
11,"[0.013082850695363555, 0.01181575609166587, 0.9751013932129706]",1112
12,"[0.922872883284868, 0.02226886185550761, 0.054858254859624395]",723
13,"[0.3450405688238672, 0.6407606012395997, 0.014198829936533017]",721
14,"[0.022326421380205734, 0.012798116347741953, 0.9648754622720523]",841
15,"[0.8169175491925581, 0.14387439657164053, 0.03920805423580125]",331
16,"[0.41920263297371674, 0.5381663053856779, 0.04263106164060541]",528
17,"[0.6518686509445241, 0.3095575515671891, 0.03857379748828687]",535
18,"[0.1572564194897133, 0.7747280115734544, 0.06801556893683235]",601
19,"[0.8621724703948402, 0.11430313054420414, 0.023524399060955624]",341
20,"[0.9436047278923648, 0.019984200205274995, 0.03641107190236018]",735
21,"[0.0227668392332608, 0.9648588721254096, 0.012374288641329733]",341
22,"[0.008542917450664971, 0.6011138740198345, 0.3903432085295004]",788
23,"[0.05493916065155479, 0.051919459740493036, 0.8931413796079521]",760
24,"[0.018630541715583714, 0.04086292640607707, 0.9405065318783392]",340
25,"[0.04997414607830692, 0.6374308000333191, 0.31259505388837394]",720
26,"[0.015710181146571613, 0.15506609817525285, 0.8292237206781755]",346
27,"[0.015422755394940639, 0.02869760938903012, 0.9558796352160293]",324
28,"[0.059196019283468834, 0.7776305616636262, 0.16317341905290497]",596
29,"[0.5139061846106643, 0.10765610611866053, 0.3784377092706752]",487
30,"[0.059754671461070635, 0.9299216234303229, 0.010323705108606444]",357
31,"[0.49635887171506143, 0.47030445446555563, 0.03333667381938292]",527
32,"[0.10891937597081497, 0.6271276748656405, 0.26395294916354456]",443
33,"[0.010265533654511548, 0.9718376767072296, 0.017896789638258838]",326
34,"[0.9391328633157582, 0.018360107507014726, 0.04250702917722713]",758
35,"[0.35514019799987806, 0.47678643355542033, 0.1680733684447017]",702
36,"[0.0271092358867192, 0.06176660765574282, 0.911124156457538]",593
37,"[0.47111193268962365, 0.5178748591715329, 0.011013208138843376]",751
38,"[0.016033871154298118, 0.025817169676935488, 0.9581489591687664]",825
39,"[0.3333247319978837, 0.5671968135184832, 0.09947845448363313]",472
40,"[0.9588927643702505, 0.010978397060071851, 0.030128838569677723]",888
41,"[0.03151413612988627, 0.011787223868757456, 0.9566986400013562]",828
42,"[0.049249137139854605, 0.19937105445554396, 0.7513798084046014]",764
43,"[0.6871320396769767, 0.06384326538833343, 0.24902469493468998]",665
44,"[0.04173926836103183, 0.05662309400314481, 0.9016376376358233]",769
45,"[0.9306981944224296, 0.05554595603089184, 0.013755849546678418]",776
46,"[0.03212421509762168, 0.29596283455830646, 0.6719129503440718]",409
47,"[0.033345209925540985, 0.5235489295304764, 0.4431058605439825]",594
48,"[0.38858304604102256, 0.08947998623269993, 0.5219369677262776]",617
49,"[0.0412190980836465, 0.042879007625228706, 0.9159018942911247]",816
50,"[0.12678741028902732, 0.7744181355494534, 0.09879445416151944]",659
51,"[0.5890621743086479, 0.31181981641352724, 0.09911800927782474]",563
52,"[0.01495825473627809, 0.021186263698439973, 0.963855481565282]",987
53,"[0.29003421626848885, 0.3417185840234811, 0.36824719970803016]",687
54,"[0.01573417056411797, 0.32401064484603087, 0.6602551845898511]",768
55,"[0.017417758736667486, 0.32307383961551667, 0.6595084016478158]",844
56,"[0.05900496171796449, 0.8802765057879726, 0.06071853249406294]",618
57,"[0.013777174499811261, 0.09672427086248733, 0.8894985546377014]",343
58,"[0.2672768452042367, 0.4718507331711182, 0.2608724216246451]",493
59,"[0.5395640845853383, 0.0779946267078129, 0.38244128870684885]",657
60,"[0.04018958313505308, 0.03454219625263074, 0.9252682206123162]",805
61,"[0.0451801291295709, 0.017629637717577418, 0.9371902331528517]",810
62,"[0.5274353749106878, 0.021903982575015017, 0.4506606425142971]",786
63,"[0.25385033584789374, 0.6753536408454065, 0.07079602330669964]",698
64,"[0.057586798488396346, 0.6552427931898925, 0.28717040832171103]",706
65,"[0.9426068160821144, 0.01712000098977751, 0.040273182928108185]",757
66,"[0.09386921827503668, 0.8233545849480822, 0.08277619677688121]",701
67,"[0.8763637497273231, 0.1106557745880568, 0.012980475684620102]",343
68,"[0.030149731529931025, 0.45317224109131504, 0.5166780273787539]",477
69,"[0.06617842744356299, 0.9202511369023444, 0.013570435654092517]",326
70,"[0.8933786576601063, 0.04412617705705667, 0.06249516528283708]",736
71,"[0.0848708891394389, 0.8296517915043252, 0.08547731935623595]",632
72,"[0.9374238004042528, 0.027667173190212897, 0.03490902640553422]",599
73,"[0.019683198344117137, 0.09850340970058276, 0.8818133919553002]",354
74,"[0.028878410047983007, 0.09739881871871177, 0.8737227712333051]",584
75,"[0.5454222284733898, 0.42274781604262235, 0.03182995548398777]",678
76,"[0.9378713918617374, 0.02002584740568412, 0.04210276073257838]",638
77,"[0.029714193169453493, 0.2638068859755318, 0.7064789208550148]",400
78,"[0.6147638265091864, 0.34318350450939966, 0.04205266898141402]",417
79,"[0.017980839462331952, 0.0979832817666036, 0.8840358787710644]",359
80,"[0.30385765475148624, 0.6477761364128375, 0.04836620883567639]",418
81,"[0.01880913830715819, 0.025687590764570216, 0.9555032709282715]",836
82,"[0.022978952522839345, 0.64964563203652, 0.32737541544064064]",756
84,"[0.9298106457680001, 0.04859484215154098, 0.021594512080458997]",805
85,"[0.446891944473795, 0.5406443993222857, 0.012463656203919211]",763
