trial,judgment,num_cols
1,"[0.3286558154071457, 0.20903140924328797, 0.4623127753495662]",580
2,"[0.39964618930214146, 0.20922427442384964, 0.391129536274009]",580
3,"[0.199644003645399, 0.7160787289647363, 0.0842772673898648]",412
4,"[0.08201292844084716, 0.1910496415652996, 0.7269374299938532]",406
5,"[0.28791649912091466, 0.473869353558978, 0.23821414732010723]",638
6,"[0.46282774373152324, 0.26558111264922696, 0.27159114361924974]",665
7,"[0.04855965837311457, 0.34913613853455094, 0.6023042030923346]",670
8,"[0.379034389874066, 0.3699206591904819, 0.251044950935452]",639
9,"[0.5969571469405887, 0.05310805786054295, 0.3499347951988683]",636
10,"[0.40685851431749315, 0.19160972010842092, 0.40153176557408593]",534
11,"[0.06195354321519563, 0.06074597819180202, 0.8773004785930024]",1004
12,"[0.47144228777860414, 0.0419920857142521, 0.4865656265071437]",756
13,"[0.5345460970463644, 0.4185130490298803, 0.04694085392375527]",753
14,"[0.11671010727475643, 0.06118959831516628, 0.8221002944100774]",774
15,"[0.44250467404602173, 0.11861052267897423, 0.43888480327500407]",343
16,"[0.25606718670837486, 0.5371407310284214, 0.20679208226320378]",616
17,"[0.5824993021711891, 0.26203597444536125, 0.15546472338344966]",611
18,"[0.24450006597604193, 0.4779871691898612, 0.27751276483409687]",603
19,"[0.6635447953076526, 0.15970029497009622, 0.17675490972225122]",420
20,"[0.5671344761566498, 0.05243315647538568, 0.3804323673679645]",668
21,"[0.10946925737724016, 0.8163582484860773, 0.0741724941366825]",426
22,"[0.041318813911617944, 0.4621212258018008, 0.4965599602865812]",815
23,"[0.38137078461904067, 0.32228571811614803, 0.2963434972648113]",782
24,"[0.09426265769576167, 0.116549631950005, 0.7891877103542333]",425
25,"[0.37832732350356296, 0.4159250833728271, 0.2057475931236099]",736
26,"[0.10711330680963115, 0.18474572950187715, 0.7081409636884918]",408
27,"[0.0888313290085366, 0.12394396634687466, 0.7872247046445888]",409
28,"[0.4305110469229783, 0.36762253814259654, 0.20186641493442523]",572
29,"[0.5025460513867575, 0.24904230787226947, 0.24841164074097297]",479
30,"[0.13136574093543707, 0.8201315669603162, 0.048502692104246785]",417
31,"[0.6212831445079262, 0.28296832232456975, 0.09574853316750408]",587
32,"[0.3551014678293552, 0.24158136492309612, 0.4033171672475487]",621
33,"[0.047117935453121276, 0.8164190454871303, 0.13646301905974842]",412
34,"[0.6034971910408137, 0.054340401281217136, 0.3421624076779693]",696
35,"[0.3813949761904994, 0.20145528373604582, 0.4171497400734549]",735
36,"[0.24769378796472832, 0.23645743514238793, 0.5158487768928839]",613
37,"[0.4108810902686497, 0.5461889313814547, 0.04292997834989556]",728
38,"[0.08835612604064891, 0.08792188860819154, 0.8237219853511596]",730
39,"[0.47718361290315, 0.22738122017524157, 0.2954351669216085]",594
40,"[0.5814292578025474, 0.05728993358727935, 0.36128080861017325]",820
41,"[0.43697109294846, 0.045971564330770945, 0.5170573427207691]",771
42,"[0.41601316647794134, 0.1945648251635327, 0.38942200835852586]",769
43,"[0.4219079848568191, 0.328683048778523, 0.249408966364658]",688
44,"[0.2199274599120052, 0.4175975888938589, 0.36247495119413586]",774
45,"[0.5857815534570352, 0.36890929934587463, 0.04530914719709013]",711
46,"[0.29338886096387934, 0.48483024995101603, 0.22178088908510454]",588
47,"[0.19053711563416986, 0.4223179232326708, 0.3871449611331592]",555
48,"[0.34450030089214945, 0.2953286930569341, 0.36017100605091634]",628
49,"[0.27197284712213027, 0.29454731967097086, 0.43347983320689887]",772
50,"[0.26165969066753053, 0.4674424236594846, 0.270897885672985]",706
51,"[0.4288433731944533, 0.236825443456168, 0.3343311833493788]",602
52,"[0.10368785962989811, 0.07846583195684347, 0.8178463084132583]",806
53,"[0.279176069429168, 0.4847486675451261, 0.23607526302570586]",717
54,"[0.06860356585292397, 0.5093184452567623, 0.42207798889031367]",747
55,"[0.04502025088135498, 0.46792923620942584, 0.48705051290921914]",842
56,"[0.29759520427705155, 0.424898510008933, 0.2775062857140156]",693
57,"[0.11009728269166794, 0.19210821130005495, 0.6977945060082771]",423
58,"[0.36528377175377075, 0.1979047576275287, 0.43681147061870046]",572
59,"[0.32853852048932425, 0.2840306034188829, 0.3874308760917928]",665
60,"[0.3700012170952475, 0.2007741366370719, 0.4292246462676806]",759
61,"[0.43342905776281027, 0.04560296935181542, 0.5209679728853743]",786
62,"[0.3232987914194573, 0.07004381899933737, 0.6066573895812053]",795
63,"[0.2116235322103638, 0.39112934115490167, 0.39724712663473444]",682
64,"[0.28909011899157117, 0.44444941070837857, 0.2664604703000502]",737
65,"[0.5680777538372701, 0.04533514169988192, 0.38658710446284794]",700
66,"[0.2131812553371442, 0.393312146398827, 0.39350659826402873]",705
67,"[0.7142970281605605, 0.19435035285810387, 0.09135261898133558]",409
68,"[0.3120407097430362, 0.4746313762374927, 0.21332791401947107]",602
69,"[0.19086846809548458, 0.7529329927329087, 0.056198539171606776]",401
70,"[0.3649094563783919, 0.2082107164836366, 0.42687982713797157]",745
71,"[0.23935842140872202, 0.4340313017236061, 0.3266102768676718]",691
72,"[0.5286235469745731, 0.24356828987759105, 0.2278081631478356]",633
73,"[0.14300423686159267, 0.10361285946142113, 0.7533829036769862]",402
74,"[0.18586840542976865, 0.4038547206421453, 0.41027687392808615]",553
75,"[0.42170843837755145, 0.23988723496781567, 0.3384043266546329]",679
76,"[0.49987250959609775, 0.06395122270452348, 0.43617626769937873]",624
77,"[0.216288257148065, 0.5329536590271973, 0.2507580838247377]",590
78,"[0.21072118569516934, 0.4471027997535047, 0.342176014551326]",570
79,"[0.09520822592927115, 0.17230269266141246, 0.7324890814093165]",414
80,"[0.49917991272318013, 0.22657980638698272, 0.27424028088983715]",596
81,"[0.09504974953504663, 0.10631177241683336, 0.7986384780481199]",736
82,"[0.05250262918565005, 0.40776435030818653, 0.5397330205061633]",786
84,"[0.6463848747539316, 0.3046624322618836, 0.04895269298418481]",742
85,"[0.4468185595564066, 0.5082588224671146, 0.04492261797647865]",739
86,"[0.04416496717416571, 0.2999676368891158, 0.6558673959367184]",741
90,"[0.10605652300455416, 0.10139266124494609, 0.7925508157504997]",799
91,"[0.37359060844938596, 0.36480574102481134, 0.2616036505258026]",716
93,"[0.07288309521406627, 0.7731042467354327, 0.15401265805050118]",420
94,"[0.3186340406270684, 0.3020938094280159, 0.37927214994491576]",703
97,"[0.42286934717893215, 0.21281254754255727, 0.36431810527851066]",608
98,"[0.4084438638643867, 0.17434566346719457, 0.41721047266841876]",782
99,"[0.5133766320943944, 0.05257758576191913, 0.43404578214368633]",753
100,"[0.46195892066045874, 0.05493067932551053, 0.4831104000140307]",749
102,"[0.3462052670468359, 0.43814753457395905, 0.21564719837920496]",606
103,"[0.47922980127039494, 0.241576573218871, 0.279193625510734]",696
106,"[0.22039483801744295, 0.3951409110013896, 0.38446425098116754]",781
107,"[0.4314390531807033, 0.28884808598069256, 0.2797128608386041]",693
109,"[0.227973803610514, 0.30366748873730465, 0.46835870765218135]",707
111,"[0.806153569537693, 0.09060012783587658, 0.10324630262643036]",435
112,"[0.04829892963459371, 0.4476982125013009, 0.5040028578641054]",853
113,"[0.34251274623217215, 0.26551433698367544, 0.3919729167841523]",761
114,"[0.47563915223306547, 0.47594020354574335, 0.04842064422119122]",332
115,"[0.056650713881351074, 0.32438291093662114, 0.6189663751820277]",688
118,"[0.38281596226146797, 0.23353143330953693, 0.38365260442899507]",762
121,"[0.4742033123018329, 0.46875910033474655, 0.05703758736342059]",634
122,"[0.4419398366542158, 0.05354540193229931, 0.5045147614134848]",870
123,"[0.385874124758293, 0.23483374343094984, 0.37929213181075705]",664
126,"[0.09682679871693309, 0.07707078320269942, 0.8261024180803676]",829
127,"[0.4421451678375214, 0.18139069434759147, 0.3764641378148871]",790
129,"[0.5312154024896, 0.2547157840110912, 0.2140688134993088]",611
132,"[0.34070981074877205, 0.3667944455460704, 0.2924957437051576]",714
133,"[0.46931313511327005, 0.4741253438487695, 0.0565615210379603]",636
139,"[0.205178894049914, 0.4538421376170742, 0.3409789683330118]",584
140,"[0.4508286796160842, 0.45091028573249037, 0.0982610346514254]",342
142,"[0.2125378275374824, 0.462147347997273, 0.3253148244652447]",598
143,"[0.40506716866434095, 0.1884778173972754, 0.4064550139383836]",699
144,"[0.6095709201454553, 0.05134642717667287, 0.3390826526778717]",706
145,"[0.05396929533174342, 0.45395589171658185, 0.4920748129516748]",874
148,"[0.8720833263779644, 0.053901322228528205, 0.07401535139350743]",847
149,"[0.3121579583803523, 0.45158973318405604, 0.23625230843559172]",709
154,"[0.12987037580924993, 0.16689543252205805, 0.7032341916686919]",412
156,"[0.31665422855589637, 0.22173555658346125, 0.46161021486064224]",596
158,"[0.45692970697282487, 0.04637884749392093, 0.4966914455332543]",708
163,"[0.7824259402880662, 0.10946098170077154, 0.10811307801116227]",763
166,"[0.04199030924130673, 0.5080191978271286, 0.44999049293156473]",792
170,"[0.2646832736677511, 0.37905808605962477, 0.35625864027262416]",698
173,"[0.3286543785079248, 0.36464078586050713, 0.30670483563156814]",781
179,"[0.39375698057527003, 0.22290615309543163, 0.3833368663292985]",784
183,"[0.06537983346655138, 0.20869519279173343, 0.7259249737417152]",423
186,"[0.6023402098482942, 0.33967483534139625, 0.05798495481030952]",654
190,"[0.3123139973852524, 0.28715863624702687, 0.40052736636772074]",773
192,"[0.5787076904988238, 0.3722403014220177, 0.049052008079158535]",734
196,"[0.05744970035733263, 0.3585649509148954, 0.583985348727772]",714
207,"[0.5657084465154343, 0.37723451353118165, 0.05705703995338401]",647
210,"[0.8143340978089176, 0.11194933587026377, 0.07371656632081873]",793
214,"[0.355401017229119, 0.28702288089037054, 0.35757610188051053]",756
215,"[0.8747837412423851, 0.06855331292721757, 0.05666294583039748]",885
