trial,judgment,num_cols
1,"[0.12005846245993003, 0.0411813946955124, 0.8387601428445575]",605
2,"[0.12875890209796484, 0.044577562861551935, 0.8266635350404833]",637
3,"[0.036719971712100195, 0.9433975345302058, 0.019882493757693884]",334
4,"[0.011309941928611223, 0.031928374493631013, 0.9567616835777578]",329
5,"[0.08137394947160619, 0.8707197262449885, 0.04790632428340529]",649
6,"[0.8753847776828942, 0.061546774118972206, 0.0630684481981334]",715
7,"[0.016141341212835558, 0.04703165802060718, 0.9368270007665573]",741
8,"[0.5333558154714084, 0.290724321353927, 0.17591986317466438]",622
9,"[0.9525700837322075, 0.026587681217765214, 0.020842235050027275]",707
10,"[0.5129406003915742, 0.025148330723521246, 0.4619110688849046]",602
11,"[0.01749460479475099, 0.024463236802074646, 0.9580421584031743]",1100
12,"[0.9141877487303343, 0.03376709617701627, 0.052045155092649564]",717
13,"[0.6247936723269847, 0.36228718240286767, 0.012919145270147727]",781
14,"[0.023245960903356875, 0.03673463815354564, 0.9400194009430973]",836
15,"[0.8947021498319553, 0.03924923762486609, 0.06604861254317873]",317
16,"[0.046016508603603165, 0.9299662278278854, 0.02401726356851136]",608
17,"[0.9016853863190045, 0.03788815844792149, 0.06042645523307396]",607
18,"[0.05020240119324703, 0.919298338153794, 0.03049926065295892]",638
19,"[0.9509929192643831, 0.03410398245044377, 0.01490309828517313]",323
20,"[0.9312788023430143, 0.0233295890159049, 0.0453916086410808]",728
21,"[0.019134894854409557, 0.9601322141690514, 0.02073289097653921]",357
22,"[0.008964047119788704, 0.44019844743130576, 0.5508375054489056]",835
23,"[0.055285986500752615, 0.1948891137322532, 0.7498248997669942]",762
24,"[0.018548632292343128, 0.03045980911708975, 0.9509915585905672]",337
25,"[0.29791307027153174, 0.660188703839531, 0.0418982258889372]",758
26,"[0.012377076378461294, 0.04433526944338794, 0.9432876541781507]",327
27,"[0.014964165324097218, 0.03809648049464453, 0.9469393541812583]",333
28,"[0.1607476864484002, 0.7921162152685983, 0.04713609828300138]",647
29,"[0.9021068370983988, 0.04752754356820788, 0.05036561933339336]",584
30,"[0.026635196138510887, 0.9532618450978284, 0.020102958763660757]",351
31,"[0.9245084661110567, 0.04890704368638271, 0.026584490202560523]",623
32,"[0.296029264919533, 0.047806214581536555, 0.6561645204989305]",693
33,"[0.02091928429789734, 0.9609520297504662, 0.018128685951636442]",332
34,"[0.911639258933365, 0.02299974390328721, 0.06536099716334787]",755
35,"[0.22087350444288997, 0.04799662976844649, 0.7311298657886635]",764
36,"[0.02080140239253933, 0.03178419085164398, 0.9474144067558167]",598
37,"[0.31482836919634405, 0.6647504729265098, 0.020421157877146053]",752
38,"[0.05240755192169471, 0.04932143472419523, 0.89827101335411]",787
39,"[0.8168196088658424, 0.04405316409625401, 0.13912722703790367]",648
40,"[0.9458068609532708, 0.03668900247599702, 0.017504136570732187]",852
41,"[0.06302120308805721, 0.014388218779213648, 0.9225905781327292]",822
42,"[0.06773495954132792, 0.057738637510913474, 0.8745264029477585]",777
43,"[0.5584808654995139, 0.2942242711122584, 0.14729486338822773]",664
44,"[0.02904103979437787, 0.13664109796411247, 0.8343178622415097]",774
45,"[0.955896414337334, 0.0352243235867286, 0.008879262075937328]",776
46,"[0.03908345298080481, 0.9205458070444273, 0.04037073997476784]",594
47,"[0.02088689246825217, 0.5362093976549297, 0.44290370987681804]",602
48,"[0.34784746840143393, 0.25444834331591165, 0.3977041882826545]",623
49,"[0.042073241762267406, 0.029029967106287663, 0.928896791131445]",822
50,"[0.07673029699258058, 0.6436254483577031, 0.2796442546497164]",660
51,"[0.6609241014300163, 0.040846300769076846, 0.29822959780090674]",676
52,"[0.06469496905843962, 0.06615977539634207, 0.8691452555452184]",878
53,"[0.1633353597735618, 0.7587022087845966, 0.07796243144184169]",770
54,"[0.025353804509964883, 0.4281243055210556, 0.5465218899689797]",774
55,"[0.008386877947882338, 0.4201065493978781, 0.5715065726542395]",861
56,"[0.047165503568961625, 0.6666606516368141, 0.28617384479422425]",657
57,"[0.012026878870152552, 0.03703293108282309, 0.9509401900470243]",331
58,"[0.3982963476308265, 0.032657604173418606, 0.5690460481957549]",621
59,"[0.3640539364362714, 0.2116739955299118, 0.4242720680338169]",654
60,"[0.06027188172631996, 0.03537110556622269, 0.9043570127074574]",804
