trial,judgment,num_cols
1,"[0.030004623845942734, 0.48156841539646944, 0.48842696075758785]",468
2,"[0.03911364607874199, 0.2672944578240792, 0.6935918960971788]",574
3,"[0.09673815241211517, 0.8864400820042024, 0.016821765583682386]",341
4,"[0.009316321741754225, 0.015345785675115069, 0.9753378925831307]",322
5,"[0.07125067137384093, 0.6123792802411168, 0.31637004838504235]",582
6,"[0.6114324006911699, 0.3563226399249368, 0.032244959383893275]",685
7,"[0.013105712064761278, 0.034929240344546454, 0.9519650475906923]",744
8,"[0.8696976472181388, 0.0655731164921446, 0.06472923628971651]",606
9,"[0.9585371737930447, 0.012273772704319388, 0.029189053502635964]",708
10,"[0.5709306671987805, 0.25432813273883814, 0.17474120006238147]",557
11,"[0.013428338618744531, 0.011997075044647473, 0.974574586336608]",1112
12,"[0.9291462842474202, 0.014961352951724413, 0.05589236280085538]",725
13,"[0.38562800016322646, 0.605111347840588, 0.009260651996185516]",728
14,"[0.017273501678661752, 0.013337582954579059, 0.9693889153667591]",842
15,"[0.8399924591726295, 0.11978202832525531, 0.04022551250211517]",329
16,"[0.30933154833558235, 0.6498899979127297, 0.04077845375168787]",555
17,"[0.7411561330070129, 0.22365953101208813, 0.035184335980898956]",560
18,"[0.11134813054996966, 0.8273104803938452, 0.06134138905618506]",615
19,"[0.910561559811762, 0.0694601003289584, 0.01997833985927954]",329
20,"[0.951627539614504, 0.01627853915537982, 0.03209392123011613]",737
21,"[0.018962524355831057, 0.9705619113072962, 0.01047556433687283]",335
22,"[0.006171281912877177, 0.5910747170744651, 0.40275400101265774]",787
23,"[0.05718829729236443, 0.05575553461594812, 0.8870561680916875]",762
24,"[0.016829758083485944, 0.020880456882820975, 0.9622897850336931]",326
25,"[0.05074053863964919, 0.7093031682120583, 0.2399562931482924]",732
26,"[0.013446657866130102, 0.12327650325992322, 0.8632768388739466]",335
27,"[0.012784854406704124, 0.0204700631285843, 0.9667450824647116]",319
28,"[0.059735424638490985, 0.8285020620422627, 0.1117625133192464]",611
29,"[0.6167781337613427, 0.09375224023466605, 0.2894696260039912]",525
30,"[0.038932392670552866, 0.9519141874476982, 0.009153419881749019]",347
31,"[0.6013854418806046, 0.37080534039098656, 0.027809217728408973]",544
32,"[0.11710739668217221, 0.5164967568793204, 0.36639584643850737]",485
33,"[0.00894554450633215, 0.9762349835702848, 0.014819471923383074]",324
34,"[0.94944782116985, 0.0117909477312368, 0.038761231098913024]",763
35,"[0.37890870452385433, 0.43565887244613205, 0.18543242303001364]",714
36,"[0.021208261113497124, 0.0377028073062294, 0.9410889315802735]",598
37,"[0.44888509157916057, 0.5440733567669305, 0.007041551653909032]",754
38,"[0.014558887687795672, 0.02709941798723256, 0.9583416943249717]",821
39,"[0.4474203911984548, 0.4417041695291242, 0.11087543927242097]",500
40,"[0.9615209871975856, 0.012332195936503386, 0.02614681686591114]",889
41,"[0.031121317796001413, 0.009310634914805384, 0.9595680472891932]",837
42,"[0.051692180737097804, 0.16258164220041332, 0.7857261770624888]",770
43,"[0.7098970024485525, 0.058550213748711694, 0.23155278380273586]",662
44,"[0.035910579685267216, 0.05596265564467795, 0.9081267646700548]",770
45,"[0.9441345131260849, 0.04635600599668962, 0.009509480877225437]",776
46,"[0.03417429248704103, 0.40667644524020835, 0.5591492622727506]",445
47,"[0.025644515372861953, 0.5313769745369643, 0.4429785100901737]",599
48,"[0.39883649948561495, 0.08088320177951516, 0.52028029873487]",617
49,"[0.03891926178976254, 0.03327877846424026, 0.9278019597459971]",817
50,"[0.10565903632832986, 0.805934275329413, 0.08840668834225722]",651
51,"[0.6593513024585503, 0.23718230352892214, 0.10346639401252755]",589
52,"[0.01391791890044149, 0.023981507951866363, 0.9621005731476922]",982
53,"[0.26795075345205893, 0.4273176496484128, 0.3047315968995282]",702
54,"[0.01647765131823113, 0.34060176476685494, 0.6429205839149139]",771
55,"[0.011784147575531166, 0.33034348511211487, 0.6578723673123539]",846
56,"[0.054373227943006724, 0.8901657286606623, 0.05546104339633092]",618
57,"[0.010361686424140832, 0.0638322055713617, 0.9258061080044975]",333
58,"[0.3083718722611841, 0.351581578047403, 0.34004654969141296]",537
59,"[0.5475065577809014, 0.04888799505763297, 0.40360544716146574]",654
60,"[0.0404976331768266, 0.028534838307677154, 0.9309675285154964]",807
61,"[0.041058646654226955, 0.016819788112712283, 0.9421215652330608]",817
62,"[0.4913569983114219, 0.024861224582825726, 0.48378177710575243]",786
63,"[0.22299773173998677, 0.7043873234860597, 0.07261494477395347]",692
64,"[0.05271505495102551, 0.6793698103869948, 0.2679151346619796]",703
65,"[0.9511821866301264, 0.0115204011186114, 0.03729741225126212]",762
66,"[0.07522270047405825, 0.8450262204607046, 0.07975107906523696]",697
67,"[0.9105390512753603, 0.07733915549707199, 0.01212179322756775]",335
68,"[0.032086543453447185, 0.5726846950474747, 0.39522876149907804]",521
69,"[0.04910291670308084, 0.937533674682181, 0.013363408614738226]",323
70,"[0.8965591508123769, 0.04036227771953179, 0.06307857146809123]",739
71,"[0.06679323694473255, 0.8616684696683109, 0.07153829338695654]",621
72,"[0.9478781984143628, 0.020102393145042387, 0.03201940844059475]",601
73,"[0.01579971229901258, 0.07449595542324515, 0.9097043322777423]",337
74,"[0.021978200870125888, 0.11054669356991807, 0.867475105559956]",589
75,"[0.6104835908023438, 0.3572296688217266, 0.03228674037592951]",688
76,"[0.9426065074258582, 0.01674853012674257, 0.04064496244739922]",640
77,"[0.030201621966015176, 0.35162206626168585, 0.6181763117722989]",421
78,"[0.4644657554663066, 0.489800353514533, 0.04573389101916043]",474
79,"[0.014421969006608273, 0.054448986650231256, 0.9311290443431604]",335
80,"[0.4175882140031243, 0.5310724857558516, 0.051339300241024094]",455
81,"[0.015827953165966996, 0.028067980276359584, 0.9561040665576734]",833
82,"[0.01860797862861491, 0.6290772345913265, 0.3523147867800586]",759
84,"[0.9423322063132276, 0.04313028932090934, 0.014537504365863246]",815
85,"[0.4373202008074194, 0.5542041892456225, 0.008475609946957998]",765
86,"[0.009199061029392575, 0.03158393517625464, 0.9592170037943528]",806
90,"[0.02273656310750893, 0.019405537132344372, 0.9578578997601467]",914
91,"[0.04094906693442414, 0.6327238605169686, 0.3263270725486072]",709
93,"[0.014170636920031787, 0.9730030218148832, 0.012826341265085021]",320
94,"[0.3169728242550401, 0.6469482202236724, 0.03607895552128755]",695
97,"[0.45275507694913125, 0.18121488561765178, 0.36603003743321694]",622
98,"[0.04271795288773689, 0.11026425665445257, 0.8470177904578104]",795
99,"[0.05496552594170454, 0.011778109548301528, 0.9332563645099939]",670
100,"[0.05574375978363386, 0.02552793981251216, 0.9187283004038539]",738
102,"[0.8721994436530496, 0.08362857845860446, 0.04417197788834608]",687
103,"[0.9100151890356166, 0.04650443902848815, 0.04348037193589526]",748
106,"[0.027566949146996124, 0.2730993112723145, 0.6993337395806895]",792
107,"[0.63355667973162, 0.15699867304575316, 0.20944464722262693]",664
109,"[0.028839733969241613, 0.052176084814880744, 0.9189841812158775]",790
111,"[0.9770710432524425, 0.010080665618208999, 0.012848291129348507]",323
112,"[0.012856832067577529, 0.08454206002516065, 0.9026011079072619]",955
113,"[0.3906648540730327, 0.5618452426791316, 0.047489903247835606]",724
114,"[0.9419395751998885, 0.04762327235004885, 0.010437152450062593]",313
115,"[0.03464721141887975, 0.10088274758875669, 0.8644700409923636]",736
118,"[0.047334438393209395, 0.037416475050521744, 0.9152490865562689]",774
