trial,judgment,num_cols
45,"[0.8682188176768554, 0.07672674132396666, 0.05505444099917788]",750
46,"[0.09502794652042958, 0.4161915889114318, 0.4887804645681387]",477
47,"[0.297283609164902, 0.3594398210438955, 0.34327656979120236]",525
48,"[0.3279162248379793, 0.3257585288500865, 0.34632524631193423]",631
49,"[0.09634402874544859, 0.15599780158497584, 0.7476581696695755]",799
50,"[0.1835309738885821, 0.34195195270999407, 0.47451707340142385]",743
51,"[0.3373216210968187, 0.3548186496947353, 0.30785972920844595]",550
52,"[0.12153269426847094, 0.16875877423765628, 0.7097085314938728]",803
53,"[0.3052282898275574, 0.3490220463229417, 0.3457496638495009]",689
54,"[0.05398651253883017, 0.34796191979822766, 0.5980515676629422]",748
55,"[0.04996278095252112, 0.4260174667807135, 0.5240197522667653]",840
56,"[0.10369938571309624, 0.4413906949074642, 0.45490991937943953]",688
57,"[0.08990754115044527, 0.4359403596550015, 0.4741520991945533]",497
58,"[0.3077408683060973, 0.3561388832145483, 0.3361202484793544]",531
59,"[0.36396393044920167, 0.31169058689281204, 0.32434548265798613]",680
60,"[0.08597390809623279, 0.23245548984570605, 0.6815706020580612]",774
61,"[0.10885460096446249, 0.2561442914842427, 0.6350011075512947]",684
62,"[0.4081660057262921, 0.2627284191924839, 0.3291055750812239]",751
63,"[0.49235879332794, 0.4209665157989173, 0.08667469087314263]",738
64,"[0.05224558656158986, 0.4557262141466683, 0.49202819929174185]",752
65,"[0.6024662424747477, 0.23721729041304931, 0.16031646711220307]",655
66,"[0.4377396271895789, 0.4217597660239202, 0.14050060678650098]",767
67,"[0.5295214592075752, 0.4247077893335996, 0.0457707514588251]",480
68,"[0.14524485078205637, 0.40501289297947357, 0.4497422562384702]",504
69,"[0.3711713097578348, 0.42385891660045644, 0.20496977364170885]",535
70,"[0.6525295363440333, 0.13890994572517662, 0.20856051793078997]",753
71,"[0.35344143126302363, 0.40889701755932273, 0.23766155117765353]",702
72,"[0.752684908112458, 0.18416116445545003, 0.06315392743209201]",572
73,"[0.11845943120531825, 0.4216308850189988, 0.4599096837756829]",556
74,"[0.21162748985212748, 0.3045466356863331, 0.48382587446153935]",547
75,"[0.4550297002461074, 0.473125072128382, 0.07184522762551052]",669
76,"[0.6648612736170345, 0.17262661464225168, 0.16251211174071392]",600
77,"[0.1166727372168133, 0.2937483243958128, 0.589578938387374]",458
78,"[0.4646745115478421, 0.3934799206705944, 0.14184556778156343]",486
79,"[0.0530124617575354, 0.3770589281227829, 0.5699286101196815]",478
80,"[0.3690162278637606, 0.405376939011669, 0.22560683312457042]",546
81,"[0.0918817070407116, 0.14360396498112307, 0.7645143279781653]",744
82,"[0.07947841397566455, 0.40960297741153734, 0.5109186086127983]",763
84,"[0.7025069421228087, 0.18392071103206004, 0.11357234684513112]",729
85,"[0.42209265308098615, 0.43162524382243367, 0.14628210309658016]",702
86,"[0.07139891796699213, 0.1362529605959311, 0.7923481214370769]",758
90,"[0.04041813483102499, 0.14815527486231353, 0.8114265903066614]",820
91,"[0.14157218578711087, 0.4483746796161616, 0.41005313459672743]",702
93,"[0.24609504291494355, 0.5064151952454058, 0.2474897618396508]",555
94,"[0.3845710280125456, 0.42164817905351426, 0.1937807929339401]",699
97,"[0.32060782595840454, 0.3520969800849692, 0.32729519395662626]",557
98,"[0.14211335266841044, 0.31614348840735285, 0.5417431589242367]",751
99,"[0.06862603366986944, 0.1720388557906998, 0.7593351105394308]",630
100,"[0.15527676332671228, 0.24340698747255873, 0.6013162492007289]",649
102,"[0.4200073491532547, 0.28496563591700036, 0.29502701492974487]",591
103,"[0.5568543307812843, 0.3451133082238421, 0.09803236099487352]",704
