,trial,judgment,num_cols
0,1,"[0.3542632666781761, 0.008776372020608625, 0.6369603613012154]",545
1,2,"[0.5135237456404794, 0.008209093037111644, 0.478267161322409]",534
2,3,"[0.013091258513918015, 0.9760882632558406, 0.010820478230241423]",590
3,4,"[0.010415646059878764, 0.013059866592367466, 0.9765244873477538]",597
4,5,"[0.2085343905253219, 0.7790113754838914, 0.012454233990786713]",594
5,6,"[0.8809250275959418, 0.05953748620202913, 0.05953748620202913]",638
6,7,"[0.012024240951181984, 0.2194969497523361, 0.7684788092964819]",580
7,8,"[0.3989047166540641, 0.3871018676553114, 0.21399341569062444]",650
8,9,"[0.9425839328016371, 0.024108478578164547, 0.033307588620198385]",538
9,10,"[0.5041922803603097, 0.0073073770003449735, 0.4885003426393454]",513
10,11,"[0.03438676943619549, 0.034511725506270054, 0.9311015050575344]",658
11,12,"[0.4689666426697459, 0.010409272983690921, 0.5206240843465632]",643
12,13,"[0.6793013082144433, 0.31006979413754276, 0.010628897648013917]",621
13,14,"[0.03955308840361231, 0.038362074820232656, 0.922084836776155]",587
14,15,"[0.49663171626315916, 0.006736567473681725, 0.49663171626315916]",403
15,16,"[0.011633037807550628, 0.7776397477601077, 0.21072721443234171]",618
16,17,"[0.9474293383696358, 0.01305417549026869, 0.03951648614009548]",640
17,18,"[0.012129012148954801, 0.7413721843522271, 0.24649880349881823]",589
18,19,"[0.9740938792463156, 0.013175959440202207, 0.012730161313482173]",522
19,20,"[0.6886538177562864, 0.01188243140132105, 0.29946375084239263]",581
20,21,"[0.010556072495958666, 0.9791866075009039, 0.010257320003137376]",701
21,22,"[0.007887277424600948, 0.49625383897870395, 0.4958588835966951]",699
22,23,"[0.42957458143758687, 0.32563403348694125, 0.24479138507547182]",769
23,24,"[0.010547407024719516, 0.011069794935914121, 0.9783827980393665]",689
24,25,"[0.4433388236289801, 0.5194964707455586, 0.03716470562546145]",714
25,26,"[0.011484559242089111, 0.01293561333152063, 0.9755798274263903]",561
26,27,"[0.010910770442844164, 0.011581810970029562, 0.9775074185871263]",614
