trial,judgment,num_cols
1,"[0.05056514600459151, 0.3257173256107549, 0.6237175283846536]",516
2,"[0.0530399122779993, 0.3563251219459487, 0.590634965776052]",532
3,"[0.17197992179409985, 0.8097154168561965, 0.018304661349703637]",371
4,"[0.01018216819827828, 0.049599115016128584, 0.9402187167855931]",331
5,"[0.07220746347031423, 0.5405296663144629, 0.38726287021522293]",558
6,"[0.5886239841117928, 0.35510786080674855, 0.05626815508145869]",683
7,"[0.014016582462668131, 0.049275164358864115, 0.9367082531784677]",745
8,"[0.5882227635028761, 0.21490469724849023, 0.1968725392486337]",625
9,"[0.9363998867935724, 0.023903244272893233, 0.039696868933534406]",710
10,"[0.4279505542526259, 0.21433432945515304, 0.35771511629222114]",540
11,"[0.013498553503876907, 0.019631694919320986, 0.9668697515768021]",1109
12,"[0.9199329261267007, 0.025780142084623005, 0.054286931788676336]",721
13,"[0.5100691081672292, 0.48022321051239575, 0.009707681320374964]",762
14,"[0.022238567499908515, 0.022083736857136865, 0.9556776956429546]",840
15,"[0.7751715717913127, 0.18577638697907428, 0.03905204122961316]",345
16,"[0.3802953566112536, 0.5928049320090987, 0.026899711379647855]",521
17,"[0.622513455287215, 0.3077143286439554, 0.06977221606882966]",548
18,"[0.36891819084903876, 0.595284213977246, 0.03579759517371532]",537
19,"[0.8200657142892973, 0.1579446477852684, 0.021989637925434166]",358
20,"[0.9368149524947377, 0.021485158309980018, 0.041699889195282364]",732
21,"[0.04325194528680029, 0.939354106752151, 0.017393947961048716]",361
22,"[0.007333123842534709, 0.496050186597068, 0.49661668956039734]",835
23,"[0.046710538266049505, 0.1465086984631343, 0.8067807632708163]",761
24,"[0.021204707569456964, 0.08816937551334889, 0.8906259169171942]",361
25,"[0.15464367156079312, 0.596386203052538, 0.248970125386669]",726
26,"[0.015417321402585806, 0.16061946748457706, 0.8239632111128371]",359
27,"[0.014824071667727364, 0.10145392027576912, 0.8837220080565035]",359
28,"[0.056063078603908294, 0.5645250486382494, 0.37941187275784233]",519
29,"[0.4396273629539638, 0.2486973499544446, 0.31167528709159165]",459
30,"[0.06553195548945578, 0.9178878332756248, 0.01658021123491937]",367
31,"[0.6218676841213296, 0.3453882378206063, 0.032744078058063925]",552
32,"[0.17886334821784072, 0.3825623261240517, 0.4385743256581076]",567
33,"[0.01926198221053934, 0.9559527039036241, 0.024785313885836584]",334
34,"[0.8875269018834483, 0.020097440605473454, 0.09237565751107824]",754
35,"[0.20260618269951125, 0.3371529979046068, 0.46024081939588196]",716
