,trial,judgment,num_cols
0,1,"[0.009554976356047507, 0.013109986024056525, 0.977335037619896]",545
1,2,"[0.025841336181873308, 0.01277708599623118, 0.9613815778218956]",534
2,3,"[0.006569407827894836, 0.993174936627634, 0.0002556555444711061]",590
3,4,"[0.00035955324665029175, 0.0014535537802726204, 0.9981868929730771]",597
4,5,"[0.04416345300032864, 0.9415321388574934, 0.014304408142177923]",594
5,6,"[0.9436796162133049, 0.054876549600630264, 0.0014438341860649616]",638
6,7,"[0.00019235131652089633, 0.004361609404813717, 0.9954460392786655]",580
7,8,"[0.7654502427785049, 0.12746980857645737, 0.10707994864503763]",650
8,9,"[0.9993289768278006, 0.0002819856537231184, 0.0003890375184763074]",538
9,10,"[0.5449598916831974, 0.0063696898045337465, 0.4486704185122689]",513
10,11,"[0.0003620564177903308, 0.0004273533380693296, 0.9992105902441403]",658
11,12,"[0.9802600576533869, 0.0005520090856625884, 0.01918793326095049]",643
12,13,"[0.6049284193002824, 0.3948978822022921, 0.0001736984974255112]",621
13,14,"[0.0007860312070684582, 0.0006814534433429002, 0.9985325153495886]",587
14,15,"[0.9828128264635031, 0.007059809660672838, 0.010127363875824039]",403
15,16,"[0.014976622529237508, 0.9793835656058277, 0.005639811864934717]",618
16,17,"[0.9816014799165387, 0.014111173108601629, 0.004287346974859613]",640
17,18,"[0.01175798183680513, 0.9801662667441355, 0.008075751419059337]",589
18,19,"[0.9927885210143839, 0.007101552675989713, 0.00010992630962646687]",522
19,20,"[0.9936267892881495, 0.0001995427778396802, 0.006173667934010826]",581
20,21,"[0.0017693837059769033, 0.9976790766723228, 0.0005515396217001986]",701
21,22,"[0.0001061382662027042, 0.5689901011279268, 0.4309037606058705]",699
22,23,"[0.03020041725390607, 0.09732909250243338, 0.8724704902436605]",769
23,24,"[0.00011059893226944145, 0.005340528566257547, 0.994548872501473]",689
24,25,"[0.03883180848180148, 0.9125845829162542, 0.04858360860194432]",714
25,26,"[0.00012529818787535344, 0.005345443533410147, 0.9945292582787144]",561
26,27,"[0.00011335789672941718, 0.006341618958782264, 0.9935450231444883]",614
27,28,"[0.03349958455270407, 0.9502252803858995, 0.01627513506139638]",529
28,29,"[0.9670399145423636, 0.012805749587232376, 0.020154335870404123]",417
29,30,"[0.0037854485100361525, 0.9959823664656919, 0.00023218502427194815]",639
30,31,"[0.9846030534634248, 0.012807060018769759, 0.0025898865178054444]",703
31,32,"[0.3384792287291445, 0.02288899594978295, 0.6386317753210725]",598
32,33,"[0.0001265254059112009, 0.9997355387883138, 0.00013793580577512176]",688
33,34,"[0.9868336907501506, 0.00035081722661548816, 0.01281549202323391]",577
34,35,"[0.3833047217873272, 0.0207535674087467, 0.5959417108039261]",717
35,36,"[0.015036571404887034, 0.0047750907564652586, 0.9801883378386477]",590
36,37,"[0.3964185205025486, 0.6033441898348118, 0.00023728966263957893]",608
37,38,"[0.00393995465237878, 0.0019977506762777018, 0.9940622946713435]",584
38,39,"[0.752374098543723, 0.011837355032497578, 0.23578854642377936]",579
39,40,"[0.9981510730747771, 0.001064761234273366, 0.0007841656909494985]",660
40,41,"[0.017407024695457563, 0.00022422203008569256, 0.9823687532744568]",638
41,42,"[0.013729940476753764, 0.04147268246378051, 0.9447973770594658]",734
42,43,"[0.6350876796148336, 0.17879822475620052, 0.1861140956289658]",694
43,44,"[0.007702773271037229, 0.029672925215160625, 0.9626243015138022]",747
44,45,"[0.9921882765084846, 0.007660170903052258, 0.00015155258846302123]",581
