trial,judgment,num_cols
1,"[0.11615270238314813, 0.2889700993050675, 0.5948771983117844]",542
2,"[0.10050364833634164, 0.32783409132770513, 0.5716622603359532]",533
3,"[0.18332007470140138, 0.7909746464133227, 0.02570527888527598]",384
4,"[0.016325349022286103, 0.04804386391598132, 0.9356307870617326]",339
5,"[0.08330480600810695, 0.54636201672769, 0.370333177264203]",572
6,"[0.5564336728167151, 0.3372476468968875, 0.10631868028639734]",678
7,"[0.0166231221346564, 0.09186492800589804, 0.8915119498594455]",735
8,"[0.4957741619660323, 0.2763561593681845, 0.22786967866578314]",633
9,"[0.9104056519921128, 0.025809398003353523, 0.0637849500045336]",704
10,"[0.4191831965397768, 0.20465008446427638, 0.37616671899594684]",538
11,"[0.01678469809476489, 0.026596818026419743, 0.9566184838788154]",1100
12,"[0.9081482063782781, 0.038120787301866764, 0.053731006319855126]",714
13,"[0.5428169048763899, 0.44199169303801317, 0.015191402085597019]",765
14,"[0.035547742025480625, 0.037821794294845563, 0.9266304636796738]",835
15,"[0.7484665949278718, 0.19215926701723043, 0.05937413805489775]",357
16,"[0.36737207422333173, 0.6032502742655367, 0.029377651511131718]",526
17,"[0.5997877227211226, 0.28716525964582135, 0.11304701763305611]",573
18,"[0.37293892508958715, 0.5907046207053773, 0.03635645420503556]",534
19,"[0.8149703035086934, 0.16189038874752334, 0.02313930774378327]",360
20,"[0.9083257498280597, 0.01994070000609673, 0.07173355016584361]",720
21,"[0.057915431640165146, 0.9034003680572964, 0.03868420030253836]",373
22,"[0.01147875399822636, 0.4763067707193722, 0.5122144752824014]",837
23,"[0.04792523003959284, 0.21735900124269403, 0.734715768717713]",768
24,"[0.032284639056997674, 0.09773897584084987, 0.8699763851021524]",370
25,"[0.25044417922543527, 0.5242566069106465, 0.22529921386391827]",732
26,"[0.027815768594267955, 0.16527591468316913, 0.8069083167225629]",367
27,"[0.024564103302835375, 0.1075016009491321, 0.8679342957480325]",371
28,"[0.10163479839447792, 0.5399959159062702, 0.3583692856992519]",528
29,"[0.440976333090006, 0.2526339942973015, 0.3063896726126924]",458
