trial,judgment,num_cols
1,"[0.028011401344675224, 0.050014303895568275, 0.9219742947597565]",584
2,"[0.04632274705884619, 0.04416063340238061, 0.9095166195387732]",642
3,"[0.0272048269572895, 0.9615703542544132, 0.011224818788297307]",320
4,"[0.009321349131249003, 0.005906181387319515, 0.9847724694814315]",319
5,"[0.05956743617644043, 0.9036977382121513, 0.0367348256114082]",648
6,"[0.9252920779450778, 0.06052972009935336, 0.014178201955568789]",719
7,"[0.010665494939543236, 0.017203344382659212, 0.9721311606777975]",747
8,"[0.8715523026622212, 0.07771367671266671, 0.050734020625112015]",605
9,"[0.968175274428369, 0.020469950233814985, 0.01135477533781588]",713
10,"[0.6239205266729122, 0.04030048094307952, 0.33577899238400827]",611
11,"[0.01301660079330416, 0.01143418430535437, 0.9755492149013415]",1111
12,"[0.9307884300389307, 0.01691689747845581, 0.05229467248261349]",730
13,"[0.48260813899007743, 0.5093619984820335, 0.0080298625278891]",744
14,"[0.01870295242615474, 0.01192059192456628, 0.9693764556492791]",840
15,"[0.9330252718017206, 0.025198269337782957, 0.041776458860496406]",311
16,"[0.044589894926875984, 0.9356774510621277, 0.019732654010996283]",614
17,"[0.9374640088621526, 0.0366646053130853, 0.025871385824761964]",594
18,"[0.030472319977170242, 0.9256380120167301, 0.04388966800609965]",646
19,"[0.9630620195885031, 0.02304024262864755, 0.013897737782849376]",316
20,"[0.9642767673671965, 0.010023832037005756, 0.02569940059579783]",733
21,"[0.006951528247366126, 0.9815453468225448, 0.011503124930088975]",319
22,"[0.005673730900384563, 0.5457636177571671, 0.4485626513424483]",805
23,"[0.06082070537602577, 0.06392294893627276, 0.8752563456877015]",763
24,"[0.00942842278966288, 0.014373015420279047, 0.9761985617900582]",317
25,"[0.05808757099866304, 0.9008951824073743, 0.04101724659396257]",759
26,"[0.00671881367872795, 0.036886782549284874, 0.9563944037719873]",318
27,"[0.01135528072982253, 0.015537910317052171, 0.9731068089531253]",318
28,"[0.0620180377385525, 0.909530434749592, 0.028451527511855545]",654
29,"[0.9202184270165401, 0.02906062294961763, 0.05072095003384215]",594
30,"[0.02115610904102973, 0.9695511273828051, 0.009292763576165078]",328
31,"[0.9337614545445252, 0.049653182874698276, 0.01658536258077663]",612
32,"[0.18208510177607512, 0.07337210258315355, 0.7445427956407713]",691
33,"[0.009483944759035644, 0.9809744462071928, 0.009541609033771627]",320
34,"[0.9703896412868451, 0.012427177587127965, 0.017183181126026868]",768
35,"[0.6416861927460541, 0.045507756484968326, 0.31280605076897755]",774
36,"[0.01189933578481988, 0.013255524290151826, 0.9748451399250283]",603
37,"[0.3762397010196715, 0.6182551563106947, 0.005505142669633686]",760
38,"[0.019727839276617393, 0.026607200236209938, 0.9536649604871726]",813
39,"[0.8199820024373388, 0.05055822995963607, 0.1294597676030251]",629
40,"[0.9695125765828636, 0.015574785533976787, 0.014912637883159732]",882
41,"[0.027019331313761327, 0.009280406967772806, 0.9637002617184659]",841
42,"[0.06146400853248016, 0.04787793975090386, 0.890658051716616]",780
43,"[0.7808270836433138, 0.06653987844014551, 0.15263303791654068]",650
44,"[0.01707096087699007, 0.055414833577264476, 0.9275142055457454]",776
45,"[0.9756587447744285, 0.01576113691060926, 0.0085801183149623]",778
46,"[0.025343273830865577, 0.9202073903609841, 0.05444933580815046]",586
47,"[0.008251587792599928, 0.5568241198109031, 0.434924292396497]",608
48,"[0.3751304114122569, 0.12330670843778946, 0.5015628801499538]",618
49,"[0.02870590899363826, 0.015454820465395865, 0.955839270540966]",826
50,"[0.03550445404095512, 0.8856523339215221, 0.07884321203752266]",623
51,"[0.8852145230927206, 0.04768030030674473, 0.06710517660053456]",663
52,"[0.0325340717758235, 0.03333503060268751, 0.934130897621489]",950
53,"[0.14786914551194513, 0.7675408061323882, 0.08459004835566668]",778
54,"[0.026025792155241805, 0.37720010601369763, 0.5967741018310606]",764
55,"[0.009983802328593508, 0.3268334936589129, 0.6631827040124937]",847
56,"[0.03330052204977922, 0.9049947971931523, 0.061704680757068434]",615
57,"[0.007880364301551382, 0.023111516148264673, 0.969008119550184]",324
58,"[0.43235815270689737, 0.034973972261167004, 0.5326678750319356]",615
59,"[0.5014396203752524, 0.07316895265696059, 0.42539142696778726]",662
60,"[0.0383809799308282, 0.013013721313910999, 0.9486052987552608]",809
61,"[0.03104286442242346, 0.016837540635774775, 0.9521195949418017]",822
62,"[0.20372448244978164, 0.044004334089703084, 0.7522711834605152]",812
63,"[0.16000174396999062, 0.7735212155366776, 0.06647704049333183]",680
64,"[0.031883008970105334, 0.7611358855763409, 0.20698110545355367]",699
65,"[0.9641297273243503, 0.01099226078533904, 0.024878011890310588]",772
66,"[0.06121799062456046, 0.8658101286805366, 0.07297188069490299]",692
67,"[0.97174230415052, 0.018654786712120005, 0.009602909137360043]",320
68,"[0.0346357399747535, 0.9160858318664764, 0.04927842815876999]",590
69,"[0.021239490374278226, 0.9650073909353563, 0.013753118690365477]",315
70,"[0.8869734020679755, 0.014882063370873552, 0.098144534561151]",751
71,"[0.033851878207751894, 0.9065395438308832, 0.05960857796136506]",617
