trial,judgment,num_cols
1,"[0.027576643166816957, 0.16985407518766144, 0.8025692816455218]",559
2,"[0.046821710880889995, 0.16709895048839418, 0.7860793386307158]",598
3,"[0.06630028019667014, 0.9168092003999152, 0.01689051940341468]",331
4,"[0.008782104734906601, 0.011311134031335764, 0.9799067612337576]",322
5,"[0.06553113374218697, 0.7288314916659568, 0.20563737459185605]",605
6,"[0.7551922900843614, 0.21634178702951615, 0.028465922886122395]",703
7,"[0.010312993664551571, 0.023187807713544357, 0.966499198621904]",748
8,"[0.752083937751617, 0.1235820676350462, 0.12433399461333676]",611
9,"[0.9641192372319335, 0.015686304859718468, 0.020194457908347972]",709
10,"[0.5345096823940617, 0.09751770368548228, 0.3679726139204559]",582
11,"[0.013727847016651239, 0.01297806464242939, 0.9732940883409195]",1111
12,"[0.9301994359676378, 0.016187587858402963, 0.05361297617395928]",729
13,"[0.49204732620392844, 0.4993532811786266, 0.008599392617445006]",751
14,"[0.01852406242148808, 0.014175654314616712, 0.9673002832638952]",841
15,"[0.8751828621732071, 0.08547257408899747, 0.039344563737795456]",323
16,"[0.17386650725585684, 0.8009077539370139, 0.025225738807129312]",572
17,"[0.8256417054100503, 0.14669334405099999, 0.02766495053894962]",568
18,"[0.15258332768816657, 0.8066480003035267, 0.04076867200830662]",604
19,"[0.9188939004364324, 0.06460026208628125, 0.016505837477286484]",331
20,"[0.9580356097815226, 0.014909012869201578, 0.027055377349275843]",735
21,"[0.020002280596675456, 0.9692258806435595, 0.010771838759764934]",335
22,"[0.005654270031502278, 0.5229701912752958, 0.47137553869320215]",826
23,"[0.05798144631062177, 0.07447973318401573, 0.8675388205053624]",763
24,"[0.016006385742655588, 0.038389530675142086, 0.9456040835822023]",337
25,"[0.07113153568293124, 0.7911808331837197, 0.13768763113334917]",746
26,"[0.009840378160106753, 0.08199678509396746, 0.9081628367459258]",331
27,"[0.01345147231437717, 0.0388622663917893, 0.9476862612938335]",326
28,"[0.05322833056759515, 0.7850027099985284, 0.16176895943387637]",602
29,"[0.6933339852367348, 0.1253516983297091, 0.18131431643355606]",544
30,"[0.033628481572283195, 0.9571743242743673, 0.009197194153349476]",348
31,"[0.7960667541096085, 0.18322870775659514, 0.020704538133796472]",583
32,"[0.17622168130372806, 0.22382735977631876, 0.5999509589199532]",621
33,"[0.011593249751027778, 0.9780696116867673, 0.010337138562204995]",325
34,"[0.9531043005593314, 0.012436347800390796, 0.03445935164027778]",766
35,"[0.3543696759671731, 0.21123739493618635, 0.43439292909664057]",739
36,"[0.0184003485300988, 0.07026617304576867, 0.9113334784241325]",589
37,"[0.39481158984554693, 0.5985599300380536, 0.006628480116399336]",753
38,"[0.024226264133653686, 0.023530245550081142, 0.9522434903162651]",810
39,"[0.709869551932939, 0.17031102979343282, 0.11981941827362821]",602
40,"[0.9656350462782877, 0.01293590197653168, 0.021429051745180675]",883
41,"[0.030710625046465764, 0.009321146884083139, 0.959968228069451]",838
42,"[0.052897079023071794, 0.1248706986072827, 0.8222322223696455]",775
43,"[0.6808629920440452, 0.16051667460736987, 0.15862033334858497]",664
44,"[0.024689147154807273, 0.05862554338914409, 0.9166853094560485]",773
45,"[0.955232406924835, 0.03516529783866629, 0.009602295236498621]",777
46,"[0.022628721472120375, 0.7861549481647733, 0.19121633036310634]",553
47,"[0.02564700098746652, 0.5344933672438037, 0.4398596317687298]",600
48,"[0.35113561345522454, 0.20899917443926477, 0.43986521210551066]",623
49,"[0.03122435359255143, 0.018402179629073746, 0.9503734667783749]",824
50,"[0.03690716728622365, 0.7563739042487907, 0.20671892846498563]",649
51,"[0.7481759141725727, 0.18145148091710253, 0.07037260491032472]",608
52,"[0.023194153900853096, 0.025899016485236077, 0.9509068296139108]",961
53,"[0.18908012492115142, 0.6615417803393977, 0.14937809473945085]",754
54,"[0.02288824321676953, 0.3624403720073862, 0.6146713847758443]",766
55,"[0.009819870806488702, 0.3568651810960671, 0.6333149480974442]",851
56,"[0.03972391975420651, 0.8131445538259612, 0.1471315264198323]",629
57,"[0.009293634709910554, 0.06920091288106821, 0.9215054524090213]",339
58,"[0.37747572616671093, 0.11061427886936176, 0.5119099949639273]",596
59,"[0.4401142043998334, 0.14450666948471752, 0.4153791261154491]",655
60,"[0.03681386809754505, 0.037924266168675405, 0.9252618657337794]",804
61,"[0.043406488452517586, 0.013759001841011566, 0.9428345097064709]",818
62,"[0.40944750683197867, 0.03965557505455765, 0.5508969181134636]",791
63,"[0.23080453948430932, 0.7134179098893798, 0.05577755062631091]",692
64,"[0.025805737560098973, 0.6743645360516068, 0.2998297263882942]",710
65,"[0.9609183932415437, 0.011414084434412351, 0.02766752232404389]",768
66,"[0.15906610771360702, 0.7749636195014518, 0.06597027278494119]",713
67,"[0.9278517488912511, 0.06079420208092187, 0.011354049027826907]",333
68,"[0.03651665811438221, 0.812692928724347, 0.15079041316127084]",573
69,"[0.05260139749431879, 0.9337269193340343, 0.013671683171647003]",330
70,"[0.8260344074648219, 0.035476758487837504, 0.13848883404734064]",755
71,"[0.07097936953346375, 0.8404231883899371, 0.0885974420765992]",625
72,"[0.9561622783120056, 0.015487330357490541, 0.02835039133050381]",610
73,"[0.013142601549755115, 0.054749359976589355, 0.9321080384736555]",337
74,"[0.014512412441318397, 0.14773672873437438, 0.8377508588243073]",596
75,"[0.7658683590097843, 0.20698288028420467, 0.027148760706011084]",714
76,"[0.9448241738590424, 0.01567354628050594, 0.03950227986045177]",638
77,"[0.023433747109634008, 0.7035834556794498, 0.2729827972109161]",529
78,"[0.17946885933880158, 0.7474511873979135, 0.07307995326328504]",556
79,"[0.015425938760491979, 0.04931277931468245, 0.9352612819248255]",334
80,"[0.7052384198960588, 0.18136029809621573, 0.11340128200772538]",563
81,"[0.016647629561052167, 0.027782781713958486, 0.9555695887249893]",835
82,"[0.01503569659028319, 0.37914933861133354, 0.6058149647983834]",810
84,"[0.9700044016478807, 0.018097292744761795, 0.01189830560735765]",827
85,"[0.42299036949426116, 0.569137053163462, 0.007872577342276879]",766
86,"[0.0067862355932385475, 0.01563975589203869, 0.9775740085147228]",813
90,"[0.028297989861815538, 0.026439480701504977, 0.9452625294366795]",915
91,"[0.04378201046425798, 0.6790269436242563, 0.27719104591148575]",708
93,"[0.014146333044830485, 0.9754331603967236, 0.010420506558446015]",320
94,"[0.3265867731278305, 0.5864060002960675, 0.08700722657610196]",694
97,"[0.536937273610135, 0.1175907507522437, 0.3454719756376212]",619
98,"[0.041726921253903204, 0.049539343748231844, 0.9087337349978649]",810
99,"[0.06240064848986378, 0.014935987133005514, 0.9226633643771307]",675
100,"[0.06996568568535005, 0.021526647486237845, 0.9085076668284121]",736
102,"[0.7870972429141473, 0.1793324864747618, 0.03357027061109088]",688
103,"[0.9090526608405713, 0.05906495172942994, 0.03188238742999876]",749
106,"[0.015182518998991337, 0.2794164874032134, 0.7054009935977952]",794
107,"[0.6091094692845551, 0.1690961723216238, 0.22179435839382103]",663
109,"[0.013736817056422806, 0.10185976612540418, 0.8844034168181729]",787
111,"[0.977644798318856, 0.01152756000132735, 0.010827641679816646]",322
