trial,judgment,num_cols
1,"[0.030847502849136583, 0.03781174149955743, 0.931340755651306]",586
2,"[0.050977794219597736, 0.05074862298643998, 0.8982735827939623]",639
3,"[0.030439484146165086, 0.9544583220420625, 0.015102193811772444]",322
4,"[0.009499447370116633, 0.007768142381452726, 0.9827324102484307]",319
5,"[0.06797743425775012, 0.8854676969902705, 0.046554868751979304]",649
6,"[0.9267382792363567, 0.05644827830893732, 0.01681344245470604]",717
7,"[0.011492309918948498, 0.015318082870203108, 0.9731896072108485]",748
8,"[0.7170568521671561, 0.1551254101378142, 0.1278177376950297]",612
9,"[0.9705406644236628, 0.016939821469972437, 0.012519514106364846]",709
10,"[0.5544661178942675, 0.026037283991220107, 0.4194965981145124]",600
11,"[0.01381141274283901, 0.013181709151421287, 0.9730068781057396]",1111
12,"[0.9285587837376025, 0.01799651508399627, 0.05344470117840126]",730
13,"[0.5674097410374775, 0.4241820623946051, 0.00840819656791745]",771
14,"[0.018080838242491876, 0.01397519478997278, 0.9679439669675353]",839
15,"[0.9247244003590751, 0.03434591505863617, 0.04092968458228872]",315
16,"[0.044440999218723826, 0.9338815006233623, 0.02167750015791382]",609
17,"[0.9294568125871463, 0.039258155317362216, 0.03128503209549139]",594
18,"[0.0465815412132076, 0.9171540484358622, 0.03626441035093027]",641
19,"[0.9576474394867434, 0.027753037563374182, 0.014599522949882385]",321
20,"[0.9616076982145892, 0.01118232095992565, 0.027209980825485112]",733
21,"[0.015373385097054737, 0.9733902893450871, 0.011236325557858222]",329
22,"[0.0053140671519188686, 0.49402419434329353, 0.5006617385047876]",832
23,"[0.0578484150861463, 0.0939837088721024, 0.8481678760417513]",765
24,"[0.013773223212790306, 0.027066956570621612, 0.9591598202165881]",326
25,"[0.10080682146361944, 0.8553482535757836, 0.04384492496059696]",758
26,"[0.006749254215527195, 0.04176534925141031, 0.9514853965330624]",322
27,"[0.01140939770150445, 0.03291066800301083, 0.9556799342954847]",324
