trial,hole,data_y,lower,upper
1,0,0.23333333333333334,0.1,0.4
1,1,0.06666666666666667,0.0,0.16666666666666666
1,2,0.7,0.5333333333333333,0.8333333333333334
2,0,0.16666666666666666,0.03333333333333333,0.3
2,1,0.06666666666666667,0.0,0.16666666666666666
2,2,0.7666666666666667,0.6333333333333333,0.9
3,0,0.0,0.0,0.0
3,1,1.0,1.0,1.0
3,2,0.0,0.0,0.0
4,0,0.0,0.0,0.0
4,1,0.03333333333333333,0.0,0.1
4,2,0.9666666666666667,0.9,1.0
5,0,0.06666666666666667,0.0,0.16666666666666666
5,1,0.8,0.6333333333333333,0.9333333333333333
5,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
6,0,0.8,0.6658333333333334,0.9333333333333333
6,1,0.2,0.06666666666666667,0.3341666666666659
6,2,0.0,0.0,0.0
7,0,0.0,0.0,0.0
7,1,0.3,0.13333333333333333,0.4666666666666667
7,2,0.7,0.5333333333333333,0.8666666666666667
8,0,0.9666666666666667,0.8991666666666668,1.0
8,1,0.03333333333333333,0.0,0.10083333333333258
8,2,0.0,0.0,0.0
9,0,0.9,0.7666666666666667,0.9666666666666667
9,1,0.0,0.0,0.0
9,2,0.1,0.03333333333333333,0.23333333333333334
10,0,0.7142857142857143,0.5357142857142857,0.8571428571428571
10,1,0.10714285714285714,0.0,0.21428571428571427
10,2,0.17857142857142858,0.03571428571428571,0.32142857142857145
11,0,0.0,0.0,0.0
11,1,0.06666666666666667,0.0,0.16666666666666666
11,2,0.9333333333333333,0.8333333333333334,1.0
12,0,0.9310344827586207,0.8275862068965517,1.0
12,1,0.034482758620689655,0.0,0.10344827586206896
12,2,0.034482758620689655,0.0,0.10344827586206896
13,0,0.7142857142857143,0.5357142857142857,0.8928571428571429
13,1,0.25,0.10714285714285714,0.39285714285714285
13,2,0.03571428571428571,0.0,0.10714285714285714
14,0,0.0,0.0,0.0
14,1,0.034482758620689655,0.0,0.10344827586206896
14,2,0.9655172413793104,0.896551724137931,1.0
15,0,1.0,1.0,1.0
15,1,0.0,0.0,0.0
15,2,0.0,0.0,0.0
16,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
16,1,0.8,0.6333333333333333,0.9333333333333333
16,2,0.06666666666666667,0.0,0.16666666666666666
17,0,0.7666666666666667,0.6333333333333333,0.9
17,1,0.06666666666666667,0.0,0.16666666666666666
17,2,0.16666666666666666,0.03333333333333333,0.3
18,0,0.06666666666666667,0.0,0.16666666666666666
18,1,0.8666666666666667,0.7333333333333333,0.9666666666666667
18,2,0.06666666666666667,0.0,0.16666666666666666
19,0,1.0,1.0,1.0
19,1,0.0,0.0,0.0
19,2,0.0,0.0,0.0
20,0,0.8,0.6666666666666666,0.9333333333333333
20,1,0.06666666666666667,0.0,0.16666666666666666
20,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
21,0,0.0,0.0,0.0
21,1,1.0,1.0,1.0
21,2,0.0,0.0,0.0
22,0,0.0,0.0,0.0
22,1,0.4666666666666667,0.3,0.6666666666666666
22,2,0.5333333333333333,0.3333333333333333,0.7
23,0,0.0,0.0,0.0
23,1,0.36666666666666664,0.2,0.5333333333333333
23,2,0.6333333333333333,0.4666666666666667,0.8
24,0,0.03333333333333333,0.0,0.1
24,1,0.0,0.0,0.0
24,2,0.9666666666666667,0.9,1.0
25,0,0.15384615384615385,0.038461538461538464,0.3076923076923077
25,1,0.7692307692307693,0.614423076923077,0.9230769230769231
25,2,0.07692307692307693,0.0,0.19230769230769232
26,0,0.0,0.0,0.0
26,1,0.0,0.0,0.0
26,2,1.0,1.0,1.0
27,0,0.0,0.0,0.0
27,1,0.0,0.0,0.0
27,2,1.0,1.0,1.0
28,0,0.1,0.0,0.2
28,1,0.8,0.6333333333333333,0.9333333333333333
28,2,0.1,0.0,0.23333333333333334
29,0,0.8666666666666667,0.7333333333333333,0.9666666666666667
29,1,0.06666666666666667,0.0,0.16666666666666666
29,2,0.06666666666666667,0.0,0.16666666666666666
30,0,0.0,0.0,0.0
30,1,1.0,1.0,1.0
30,2,0.0,0.0,0.0
31,0,0.8,0.6666666666666666,0.9333333333333333
31,1,0.06666666666666667,0.0,0.16666666666666666
31,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
32,0,0.5,0.3333333333333333,0.6674999999999992
32,1,0.06666666666666667,0.0,0.16666666666666666
32,2,0.43333333333333335,0.26666666666666666,0.6
33,0,0.0,0.0,0.0
33,1,1.0,1.0,1.0
33,2,0.0,0.0,0.0
34,0,0.7931034482758621,0.6206896551724138,0.9310344827586207
34,1,0.0,0.0,0.0
34,2,0.20689655172413793,0.06896551724137931,0.3793103448275862
35,0,0.25,0.10714285714285714,0.42857142857142855
35,1,0.03571428571428571,0.0,0.10714285714285714
35,2,0.7142857142857143,0.5357142857142857,0.8571428571428571
36,0,0.10344827586206896,0.0,0.20689655172413793
36,1,0.034482758620689655,0.0,0.10344827586206896
36,2,0.8620689655172413,0.7241379310344828,0.9655172413793104
37,0,0.26666666666666666,0.1,0.4
37,1,0.7,0.5666666666666667,0.8666666666666667
37,2,0.03333333333333333,0.0,0.1
38,0,0.2,0.06666666666666667,0.3341666666666659
38,1,0.0,0.0,0.0
38,2,0.8,0.6658333333333334,0.9333333333333333
39,0,0.6666666666666666,0.5,0.8333333333333334
39,1,0.06666666666666667,0.0,0.16666666666666666
39,2,0.26666666666666666,0.1,0.43333333333333335
40,0,1.0,1.0,1.0
40,1,0.0,0.0,0.0
40,2,0.0,0.0,0.0
41,0,0.03333333333333333,0.0,0.1
41,1,0.06666666666666667,0.0,0.16666666666666666
41,2,0.9,0.7666666666666667,1.0
42,0,0.10344827586206896,0.0,0.20689655172413793
42,1,0.0,0.0,0.0
42,2,0.896551724137931,0.7931034482758621,1.0
43,0,0.6,0.43333333333333335,0.7666666666666667
43,1,0.23333333333333334,0.1,0.36666666666666664
43,2,0.16666666666666666,0.03333333333333333,0.3
44,0,0.034482758620689655,0.0,0.10344827586206896
44,1,0.4482758620689655,0.27586206896551724,0.6206896551724138
44,2,0.5172413793103449,0.3448275862068966,0.6896551724137931
45,0,0.7,0.5333333333333333,0.8666666666666667
45,1,0.3,0.13333333333333333,0.4666666666666667
45,2,0.0,0.0,0.0
46,0,0.0,0.0,0.0
46,1,0.9333333333333333,0.8333333333333334,1.0
46,2,0.06666666666666667,0.0,0.16666666666666666
47,0,0.0,0.0,0.0
47,1,0.5666666666666667,0.36666666666666664,0.7333333333333333
47,2,0.43333333333333335,0.26666666666666666,0.6333333333333333
48,0,0.20689655172413793,0.06896551724137931,0.3793103448275862
