trial,hole,data_y,lower,upper
22,0,0.034482758620689655,0.0,0.10344827586206896
22,1,0.4827586206896552,0.3094827586206897,0.6896551724137931
22,2,0.4827586206896552,0.3103448275862069,0.6551724137931034
23,0,0.23333333333333334,0.1,0.4
23,1,0.6666666666666666,0.5,0.8333333333333334
23,2,0.1,0.0,0.2
24,0,0.0,0.0,0.0
24,1,0.0,0.0,0.0
24,2,1.0,1.0,1.0
25,0,0.3333333333333333,0.16666666666666666,0.5
25,1,0.6333333333333333,0.4666666666666667,0.8
25,2,0.03333333333333333,0.0,0.1
26,0,0.03333333333333333,0.0,0.1
26,1,0.06666666666666667,0.0,0.16666666666666666
26,2,0.9,0.7666666666666667,1.0
27,0,0.0,0.0,0.0
27,1,0.0,0.0,0.0
27,2,1.0,1.0,1.0
28,0,0.7333333333333333,0.5666666666666667,0.8666666666666667
28,1,0.23333333333333334,0.1,0.4
28,2,0.03333333333333333,0.0,0.1
29,0,0.9666666666666667,0.9,1.0
29,1,0.03333333333333333,0.0,0.1
29,2,0.0,0.0,0.0
30,0,0.03333333333333333,0.0,0.1
30,1,0.9666666666666667,0.9,1.0
30,2,0.0,0.0,0.0
31,0,1.0,1.0,1.0
31,1,0.0,0.0,0.0
31,2,0.0,0.0,0.0
32,0,0.6666666666666666,0.5,0.8333333333333334
32,1,0.0,0.0,0.0
32,2,0.3333333333333333,0.16666666666666666,0.5
33,0,0.0,0.0,0.0
33,1,1.0,1.0,1.0
33,2,0.0,0.0,0.0
34,0,0.5,0.3333333333333333,0.7
34,1,0.0,0.0,0.0
34,2,0.5,0.3,0.6666666666666666
35,0,0.4482758620689655,0.27586206896551724,0.6551724137931034
35,1,0.13793103448275862,0.034482758620689655,0.27586206896551724
35,2,0.41379310344827586,0.2413793103448276,0.5862068965517241
36,0,0.1,0.0,0.2
36,1,0.03333333333333333,0.0,0.1
36,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
37,0,0.36666666666666664,0.2,0.5333333333333333
37,1,0.6,0.43333333333333335,0.7666666666666667
37,2,0.03333333333333333,0.0,0.1
38,0,0.03333333333333333,0.0,0.1
38,1,0.0,0.0,0.0
38,2,0.9666666666666667,0.9,1.0
39,0,0.9666666666666667,0.9,1.0
39,1,0.0,0.0,0.0
39,2,0.03333333333333333,0.0,0.1
40,0,0.9666666666666667,0.9,1.0
40,1,0.0,0.0,0.0
40,2,0.03333333333333333,0.0,0.1
41,0,0.23333333333333334,0.1,0.4
41,1,0.0,0.0,0.0
41,2,0.7666666666666667,0.6,0.9
42,0,0.5357142857142857,0.35714285714285715,0.7142857142857143
42,1,0.07142857142857142,0.0,0.17857142857142858
42,2,0.39285714285714285,0.21428571428571427,0.5714285714285714
43,0,0.9333333333333333,0.8333333333333334,1.0
43,1,0.03333333333333333,0.0,0.10083333333333258
43,2,0.03333333333333333,0.0,0.1
44,0,0.06896551724137931,0.0,0.1724137931034483
44,1,0.7586206896551724,0.5862068965517241,0.896551724137931
44,2,0.1724137931034483,0.034482758620689655,0.3103448275862069
45,0,0.43333333333333335,0.26583333333333337,0.6
45,1,0.5666666666666667,0.4,0.7341666666666659
45,2,0.0,0.0,0.0
46,0,0.4,0.23333333333333334,0.5674999999999992
