,participant,trial,order,response,rt,experiment
0,2,1,139,3,4960.45708656311,vision_sound
1,2,2,39,3,9505.40590286255,vision_sound
2,2,3,59,2,984.683036804199,vision_sound
3,2,4,5,3,1895.77317237854,vision_sound
4,2,5,69,2,6250.36692619324,vision_sound
5,2,6,32,1,4174.2570400238,vision_sound
6,2,7,53,3,3359.25602912903,vision_sound
7,2,8,96,1,3912.49394416809,vision_sound
8,2,9,4,1,2655.81393241882,vision_sound
9,2,10,107,1,1556.1158657074,vision_sound
10,2,11,38,3,1402.9598236084,vision_sound
11,2,12,2,1,2086.88497543335,vision_sound
12,2,13,108,1,3556.85210227966,vision_sound
13,2,14,95,3,1450.31309127808,vision_sound
14,2,15,73,1,915.363073348999,vision_sound
15,2,16,141,2,3292.69695281982,vision_sound
16,2,17,101,1,4260.11395454407,vision_sound
17,2,18,97,2,3607.26499557495,vision_sound
18,2,19,78,1,927.589893341064,vision_sound
19,2,20,74,1,3700.95801353455,vision_sound
20,2,21,105,2,784.742832183838,vision_sound
21,2,22,102,3,3216.10307693481,vision_sound
22,2,23,42,3,2363.4729385376,vision_sound
23,2,24,76,3,875.49614906311,vision_sound
24,2,25,36,1,18842.3261642456,vision_sound
25,2,26,60,3,1169.96216773987,vision_sound
26,2,27,46,3,1630.8970451355,vision_sound
27,2,28,99,2,2466.34984016418,vision_sound
28,2,29,14,1,10712.6879692078,vision_sound
29,2,30,26,2,2294.20781135559,vision_sound
30,2,31,79,1,8739.47095870972,vision_sound
31,2,32,129,3,6845.25513648987,vision_sound
32,2,33,7,2,1668.57290267944,vision_sound
33,2,34,117,1,1761.7712020874,vision_sound
34,2,35,21,3,18081.2430381775,vision_sound
35,2,36,122,3,6292.75512695312,vision_sound
36,2,37,19,2,4004.310131073,vision_sound
37,2,38,40,3,1701.33399963379,vision_sound
38,2,39,149,1,1643.95093917847,vision_sound
39,2,40,86,1,1224.40600395203,vision_sound
40,2,41,146,3,1381.34098052979,vision_sound
41,2,42,67,3,5945.47295570374,vision_sound
42,2,43,137,1,3229.09593582153,vision_sound
43,2,44,113,3,3697.87311553955,vision_sound
44,2,45,83,1,6424.53813552856,vision_sound
45,2,46,90,2,4862.02907562256,vision_sound
46,2,47,127,2,1842.29207038879,vision_sound
47,2,48,85,3,5134.16290283203,vision_sound
48,2,49,15,3,4987.37812042236,vision_sound
49,2,50,131,2,2171.47183418274,vision_sound
50,2,51,63,1,9869.43387985229,vision_sound
51,2,52,114,3,4044.67511177063,vision_sound
52,2,53,111,2,2800.75120925903,vision_sound
53,2,54,43,2,16109.1370582581,vision_sound
54,2,55,106,3,2079.43511009216,vision_sound
55,2,56,29,2,6969.01106834412,vision_sound
56,2,57,1,3,25298.9220619202,vision_sound
57,2,58,120,1,3867.23494529724,vision_sound
58,2,59,3,2,7949.67412948608,vision_sound
59,2,60,135,3,2494.18497085571,vision_sound
60,2,61,140,3,3628.1750202179,vision_sound
61,2,62,100,3,3932.86490440369,vision_sound
62,2,63,20,2,8643.74709129333,vision_sound
63,2,64,49,2,6641.08896255493,vision_sound
64,2,65,123,1,1293.6007976532,vision_sound
65,2,66,58,2,13499.7220039368,vision_sound
66,2,67,65,1,1128.93080711365,vision_sound
67,2,68,118,2,3770.60699462891,vision_sound
68,2,69,91,2,2491.47582054138,vision_sound
69,2,70,130,1,2810.3461265564,vision_sound
