trial,hole,data_y,lower,upper
15,1,0.06666666666666667,0.0,0.16666666666666666
15,2,0.0,0.0,0.0
16,0,0.3,0.13333333333333333,0.4666666666666667
16,1,0.6666666666666666,0.5,0.8333333333333334
16,2,0.03333333333333333,0.0,0.1
17,0,0.5,0.32142857142857145,0.6785714285714286
17,1,0.35714285714285715,0.17857142857142858,0.5357142857142857
17,2,0.14285714285714285,0.03571428571428571,0.2857142857142857
18,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
18,1,0.8,0.6333333333333333,0.9333333333333333
18,2,0.06666666666666667,0.0,0.16666666666666666
19,0,0.8,0.6658333333333334,0.9333333333333333
19,1,0.2,0.06666666666666667,0.3341666666666659
19,2,0.0,0.0,0.0
20,0,0.9333333333333333,0.8333333333333334,1.0
20,1,0.0,0.0,0.0
20,2,0.06666666666666667,0.0,0.16666666666666666
21,0,0.06666666666666667,0.0,0.16666666666666666
21,1,0.9,0.8,1.0
21,2,0.03333333333333333,0.0,0.1
22,0,0.034482758620689655,0.0,0.10344827586206896
22,1,0.6896551724137931,0.5172413793103449,0.8620689655172413
22,2,0.27586206896551724,0.10344827586206896,0.4482758620689655
23,0,0.0,0.0,0.0
23,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
23,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
24,0,0.03333333333333333,0.0,0.1
24,1,0.1,0.0,0.23333333333333334
24,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
25,0,0.26666666666666666,0.1,0.43333333333333335
25,1,0.4666666666666667,0.3,0.6333333333333333
25,2,0.26666666666666666,0.13333333333333333,0.43333333333333335
26,0,0.0,0.0,0.0
26,1,0.2,0.06666666666666667,0.36666666666666664
26,2,0.8,0.6333333333333333,0.9333333333333333
27,0,0.0,0.0,0.0
27,1,0.16666666666666666,0.03333333333333333,0.3
27,2,0.8333333333333334,0.7,0.9666666666666667
28,0,0.06666666666666667,0.0,0.16666666666666666
28,1,0.7333333333333333,0.5666666666666667,0.8666666666666667
28,2,0.2,0.06666666666666667,0.3333333333333333
29,0,0.5862068965517241,0.3793103448275862,0.7586206896551724
29,1,0.1724137931034483,0.034482758620689655,0.3103448275862069
29,2,0.2413793103448276,0.10344827586206896,0.41379310344827586
30,0,0.10344827586206896,0.0,0.2077586206896544
30,1,0.896551724137931,0.7922413793103449,1.0
30,2,0.0,0.0,0.0
31,0,0.27586206896551724,0.10344827586206896,0.4482758620689655
31,1,0.3793103448275862,0.20689655172413793,0.5862068965517241
31,2,0.3448275862068966,0.1724137931034483,0.5172413793103449
32,0,0.03333333333333333,0.0,0.1
32,1,0.9,0.7666666666666667,1.0
32,2,0.06666666666666667,0.0,0.16666666666666666
33,0,0.0,0.0,0.0
33,1,1.0,1.0,1.0
33,2,0.0,0.0,0.0
34,0,0.9310344827586207,0.8275862068965517,1.0
34,1,0.034482758620689655,0.0,0.10344827586206896
34,2,0.034482758620689655,0.0,0.10344827586206896
35,0,0.10714285714285714,0.0,0.2151785714285706
35,1,0.6071428571428571,0.42857142857142855,0.7857142857142857
35,2,0.2857142857142857,0.14285714285714285,0.42857142857142855
36,0,0.1724137931034483,0.034482758620689655,0.3103448275862069
36,1,0.10344827586206896,0.0,0.20689655172413793
36,2,0.7241379310344828,0.5517241379310345,0.8620689655172413
37,0,0.3793103448275862,0.20689655172413793,0.5517241379310345
37,1,0.5862068965517241,0.41379310344827586,0.7586206896551724
37,2,0.034482758620689655,0.0,0.10344827586206896
38,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
38,1,0.03333333333333333,0.0,0.13333333333333333
38,2,0.8333333333333334,0.7,0.9666666666666667
39,0,0.13793103448275862,0.034482758620689655,0.27586206896551724
39,1,0.7586206896551724,0.5862068965517241,0.896551724137931
39,2,0.10344827586206896,0.0,0.2413793103448276
40,0,0.9,0.7991666666666668,1.0
40,1,0.03333333333333333,0.0,0.1
40,2,0.06666666666666667,0.0,0.16666666666666666
41,0,0.1,0.0,0.23333333333333334
41,1,0.03333333333333333,0.0,0.1
41,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
42,0,0.034482758620689655,0.0,0.10344827586206896
42,1,0.3448275862068966,0.1724137931034483,0.5172413793103449
42,2,0.6206896551724138,0.4482758620689655,0.7931034482758621
43,0,0.25925925925925924,0.1111111111111111,0.4444444444444444
43,1,0.2962962962962963,0.14814814814814814,0.4444444444444444
43,2,0.4444444444444444,0.25925925925925924,0.6296296296296297
44,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
44,1,0.0,0.0,0.0
44,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
45,0,0.9666666666666667,0.9,1.0
45,1,0.03333333333333333,0.0,0.1
45,2,0.0,0.0,0.0
46,0,0.0,0.0,0.0
46,1,0.16666666666666666,0.06666666666666667,0.3333333333333333
46,2,0.8333333333333334,0.6666666666666666,0.9333333333333333
47,0,0.0,0.0,0.0
47,1,0.3333333333333333,0.16666666666666666,0.5
47,2,0.6666666666666666,0.5,0.8333333333333334
48,0,0.21428571428571427,0.07142857142857142,0.35714285714285715
48,1,0.14285714285714285,0.03571428571428571,0.2857142857142857
48,2,0.6428571428571429,0.4642857142857143,0.8214285714285714
49,0,0.06666666666666667,0.0,0.16666666666666666
49,1,0.06666666666666667,0.0,0.16666666666666666
49,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
50,0,0.0,0.0,0.0
50,1,0.8333333333333334,0.6991666666666667,0.9666666666666667
50,2,0.16666666666666666,0.03333333333333333,0.30083333333333256
51,0,0.6,0.43333333333333335,0.7666666666666667
51,1,0.3333333333333333,0.16666666666666666,0.5
51,2,0.06666666666666667,0.0,0.16666666666666666
52,0,0.06666666666666667,0.0,0.16666666666666666
52,1,0.0,0.0,0.0
52,2,0.9333333333333333,0.8333333333333334,1.0
53,0,0.3448275862068966,0.1724137931034483,0.5172413793103449
53,1,0.3448275862068966,0.1724137931034483,0.5172413793103449
