,trial,distance
0,1,30.94923973083496
1,2,53.61766815185547
2,3,93.30009460449219
3,4,92.11067199707031
4,5,42.29397201538086
5,6,30.857833862304688
6,7,33.28582763671875
7,8,28.0489501953125
8,9,19.15752410888672
9,10,27.685928344726562
10,11,83.23017120361328
11,12,23.95530128479004
12,13,53.65214538574219
13,14,57.26328659057617
14,15,27.075115203857422
15,16,39.768157958984375
16,17,56.069339752197266
17,18,34.6831169128418
18,19,77.0516586303711
19,20,17.386594772338867
20,21,67.23589324951172
21,22,46.7559700012207
22,23,36.3319206237793
23,24,107.35537719726562
24,25,51.834571838378906
25,26,48.775516510009766
26,27,90.77791595458984
27,28,40.48470687866211
28,29,43.49211883544922
29,30,82.47471618652344
30,31,70.91629791259766
31,32,22.536521911621094
32,33,82.33829498291016
33,34,26.75528907775879
34,35,32.14626693725586
35,36,36.72158432006836
36,37,45.67271423339844
37,38,65.93677520751953
38,39,38.252220153808594
39,40,64.32858276367188
40,41,41.7155876159668
41,42,25.761825561523438
42,43,34.560081481933594
43,44,58.45747756958008
44,45,43.88618087768555
45,46,26.956207275390625
46,47,37.95429992675781
47,48,22.135074615478516
48,49,64.21278381347656
49,50,23.485233306884766
50,51,22.13383674621582
51,52,75.58892822265625
52,53,50.92463302612305
53,54,47.65436553955078
54,55,41.31432342529297
55,56,33.71916961669922
56,57,83.38751983642578
57,58,32.06211853027344
58,59,38.96723937988281
59,60,21.329607009887695
60,61,38.78459548950195
61,62,28.725614547729492
62,63,18.753267288208008
63,64,32.765045166015625
64,65,26.52457046508789
65,66,27.385055541992188
66,67,119.3892822265625
67,68,30.38728904724121
68,69,67.9481430053711
69,70,22.77714729309082
70,71,23.110368728637695
71,72,32.007938385009766
72,73,92.45549011230469
73,74,27.882474899291992
74,75,45.99597930908203
75,76,30.464195251464844
76,77,33.49704360961914
77,78,32.69702911376953
78,79,99.73326873779297
79,80,24.669748306274414
80,81,47.58057403564453
81,82,44.79779052734375
82,84,41.41209030151367
83,85,34.49898147583008
84,86,48.82532501220703
85,90,45.684844970703125
86,91,28.087900161743164
87,93,98.08163452148438
88,94,42.6932487487793
89,97,22.018861770629883
90,98,24.507808685302734
91,99,16.351573944091797
92,100,41.32394027709961
93,102,43.090152740478516
94,103,47.084693908691406
95,106,46.18840789794922
96,107,47.97442626953125
97,109,46.38954544067383
98,111,96.59134674072266
99,112,56.59889602661133
100,113,20.234588623046875
101,114,90.10891723632812
102,115,72.78919982910156
103,118,33.29226303100586
104,121,33.553001403808594
105,122,29.194978713989258
106,123,21.243968963623047
107,126,51.00352096557617
108,127,31.4802303314209
109,129,57.50751495361328
110,132,28.155473709106445
111,133,34.48583221435547
112,139,28.37110710144043
113,140,102.60704040527344
114,142,33.64823532104492
115,143,29.752750396728516
116,144,42.77772903442383
117,145,48.360633850097656
118,148,62.40366744995117
119,149,25.23605728149414
120,154,60.74348449707031
121,156,36.44193649291992
122,158,31.728538513183594
123,163,42.147239685058594
124,166,34.529090881347656
125,170,30.568819046020508
126,173,37.190040588378906
127,179,25.303546905517578
128,183,107.48297119140625
129,186,50.241172790527344
130,190,24.21155548095703
131,192,25.9736328125
132,196,41.21873092651367
133,207,52.665584564208984
134,210,55.36505889892578
135,214,23.616703033447266
136,215,53.87468719482422
137,223,62.98115921020508
138,254,31.07076072692871
139,283,19.879505157470703
140,289,31.686445236206055
141,297,38.148155212402344
142,302,27.925947189331055
143,306,30.555753707885742
144,307,33.595760345458984
145,316,44.547271728515625
146,319,63.70770263671875
147,326,22.097328186035156
148,332,44.26513671875
149,380,50.49379348754883
