,trial,distance
0,1,53.28487777709961
1,2,28.35330581665039
2,3,110.00820922851562
3,4,97.25804901123047
4,5,49.35132598876953
5,6,48.45736312866211
6,7,53.5395622253418
7,8,51.78373336791992
8,9,36.13864517211914
9,10,44.09457778930664
10,11,65.1973648071289
11,12,31.49415397644043
12,13,53.11410140991211
13,14,50.13184356689453
14,15,57.965179443359375
15,16,44.61443328857422
16,17,71.11109161376953
17,18,48.499542236328125
18,19,94.28236389160156
19,20,30.957950592041016
20,21,87.12642669677734
21,22,48.23033142089844
22,23,35.63173294067383
23,24,115.22537994384766
24,25,64.41644287109375
25,26,75.36180114746094
26,27,104.88993835449219
27,28,63.694236755371094
28,29,46.0351676940918
29,30,76.11023712158203
30,31,69.35018157958984
31,32,32.06646728515625
32,33,79.1916732788086
33,34,28.676883697509766
34,35,57.59787368774414
35,36,35.590660095214844
36,37,54.9295539855957
37,38,37.332427978515625
38,39,56.091835021972656
39,40,48.67128372192383
40,41,47.78703308105469
41,42,38.166324615478516
42,43,46.32311248779297
43,44,61.653221130371094
44,45,52.25497055053711
45,46,45.64027786254883
46,47,35.60551834106445
47,48,37.85091018676758
48,49,51.4807014465332
49,50,40.156333923339844
50,51,49.69963073730469
51,52,35.797584533691406
52,53,50.30716323852539
53,54,45.28173828125
54,55,53.52838134765625
55,56,44.725894927978516
56,57,88.82154846191406
57,58,43.489402770996094
58,59,47.304222106933594
59,60,44.87200164794922
60,61,31.582603454589844
61,62,36.69432830810547
62,63,51.1366081237793
63,64,56.88235092163086
64,65,26.059972763061523
65,66,59.07066345214844
66,67,99.6476821899414
67,68,48.67036056518555
68,69,108.44764709472656
69,70,57.912742614746094
70,71,54.844764709472656
71,72,35.09751892089844
72,73,79.4669418334961
73,74,39.199981689453125
74,75,38.809635162353516
75,76,26.160484313964844
76,77,41.0877685546875
77,78,59.922645568847656
78,79,66.48179626464844
79,80,68.49217987060547
80,81,51.11677551269531
81,82,52.23234558105469
82,84,53.03755187988281
83,85,48.04457092285156
84,86,48.415592193603516
85,90,33.35162353515625
86,91,48.84518051147461
87,93,97.9823226928711
88,94,41.01886749267578
89,97,61.530391693115234
90,98,41.1879768371582
91,99,38.160099029541016
92,100,38.10414505004883
93,102,50.882911682128906
94,103,54.55894470214844
95,106,54.71393585205078
96,107,35.1165771484375
97,109,50.68125915527344
98,111,93.24188995361328
99,112,58.97294998168945
100,113,46.74937438964844
101,114,130.3624725341797
102,115,47.82694625854492
103,118,45.79404830932617
104,121,48.63933563232422
105,122,32.517433166503906
106,123,47.25153350830078
107,126,52.57860565185547
108,127,40.87743377685547
109,129,56.909481048583984
110,132,43.7519416809082
111,133,50.00393295288086
112,139,52.016876220703125
113,140,86.65233612060547
114,142,60.58307647705078
115,143,61.54780197143555
116,144,56.019779205322266
117,145,51.61139678955078
118,148,64.23678588867188
119,149,46.56283950805664
120,154,106.52255249023438
121,156,42.154727935791016
122,158,66.1050796508789
123,163,55.473655700683594
124,166,49.51116180419922
125,170,48.67592239379883
126,173,49.42538833618164
127,179,44.169105529785156
128,183,103.07511138916016
129,186,49.22183609008789
130,190,39.71266174316406
131,192,37.25239944458008
132,196,43.56824493408203
133,207,42.46559143066406
134,210,52.52349853515625
135,214,31.959091186523438
136,215,62.379634857177734
137,223,54.427066802978516
138,254,40.95207977294922
139,283,32.60899353027344
140,289,46.63918685913086
141,297,37.62887191772461
142,302,28.19535255432129
143,306,49.78670120239258
144,307,32.376190185546875
145,316,65.35308837890625
146,319,43.9339485168457
147,326,33.2515869140625
148,332,51.33723449707031
149,380,28.10194206237793
